datasetKey,basisOfRecord,occurrenceStatus,species,decimalLongitude,decimalLatitude,stateProvince,year,month,day,issues,references,license,geodeticDatum,gbifID,catalogNumber,locality,continent,county
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.600019,20.352112,Ninh Binh,2022,8,1,cdround,https://www.inaturalist.org/observations/129104129,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3881597189,129104129,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.701728,20.263095,Ninh Binh,2021,4,29,cdround,https://www.inaturalist.org/observations/77436868,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3337460497,77436868,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,100.79715,22.00881,Yunnan,2021,6,27,,https://www.inaturalist.org/observations/87964192,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3384666864,87964192,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,106.981239,22.506572,Guangxi,2021,6,1,,https://www.inaturalist.org/observations/101871638,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3457056640,101871638,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.713388,20.253044,Ninh Binh,2020,3,8,,https://www.inaturalist.org/observations/41353343,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2597873158,41353343,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.597293,20.347839,Ninh Binh,2020,3,2,cdround,https://www.inaturalist.org/observations/68270426,http://creativecommons.org/licenses/by/4.0/legalcode,WGS84,3031682214,68270426,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.59409,20.34943,Ninh Binh,2020,3,2,cdround,https://www.inaturalist.org/observations/40031547,http://creativecommons.org/licenses/by/4.0/legalcode,WGS84,3031963608,40031547,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,107.030278,20.750278,H<U+1EA3>i Phong,2020,4,18,cdround,https://www.inaturalist.org/observations/42454831,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2609093447,42454831,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,106.997685,20.794423,H<U+1EA3>i Phong,2020,5,19,cdround,https://www.inaturalist.org/observations/47258413,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2634042567,47258413,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.715885,20.255942,Ninh Binh,2020,6,20,cdround,https://www.inaturalist.org/observations/50514570,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2802962544,50514570,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,113.87052,23.619863,Guangdong,2020,6,25,,https://www.inaturalist.org/observations/65399861,http://creativecommons.org/licenses/by/4.0/legalcode,WGS84,3383875576,65399861,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,101.273705,21.918716,Yunnan,2020,11,8,cdround,https://www.inaturalist.org/observations/64437788,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3058691691,64437788,NA,NA,NA
d8cd16ba-bb74-4420-821e-083f2bac17c2,PRESERVED_SPECIMEN,PRESENT,Acanthosaura lepidogaster,104.029999,21.709999,NA,2019,1,1,gass84,https://www.ebi.ac.uk/ena/browser/view/MT376199,http://creativecommons.org/licenses/by/4.0/legalcode,WGS84,3351771808,ZISP:F11845,"Yen Bai Prov, Mu Cang Chai, Che Tao",NA,NA
d8cd16ba-bb74-4420-821e-083f2bac17c2,PRESERVED_SPECIMEN,PRESENT,Acanthosaura lepidogaster,105.260002,22.200001,NA,2019,1,1,gass84,https://www.ebi.ac.uk/ena/browser/view/MT376198,http://creativecommons.org/licenses/by/4.0/legalcode,WGS84,3351801969,ZISP:F11809,"Tuyen Quang Prov, Na Hang",NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,106.999232,20.803706,H<U+1EA3>i Phong,2019,4,1,cdround,https://www.inaturalist.org/observations/21868703,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2235523953,21868703,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.714195,20.252613,Ninh Binh,2019,4,30,cdround,https://www.inaturalist.org/observations/27854438,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2283064906,27854438,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,106.997874,20.79847,H<U+1EA3>i Phong,2019,6,4,cdround,https://www.inaturalist.org/observations/26534111,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2265809838,26534111,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.608731,20.316745,Ninh Binh,2019,6,20,cdround,https://www.inaturalist.org/observations/27905841,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2283077789,27905841,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,104.93911,21.138944,Phu Th<U+1ECD>,2019,7,2,cdround,https://www.inaturalist.org/observations/28172284,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2283153281,28172284,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,106.999222,20.788588,H<U+1EA3>i Phong,2019,7,5,cdround,https://www.inaturalist.org/observations/28237343,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2283170320,28237343,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.599105,20.352822,Ninh Binh,2019,7,27,cdround,https://www.inaturalist.org/observations/30153081,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2331891350,30153081,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,106.991218,20.797129,H<U+1EA3>i Phong,2019,7,5,cdround,https://www.inaturalist.org/observations/33788188,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2429351724,33788188,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.708009,20.258419,Ninh Binh,2019,7,6,cdround,https://www.inaturalist.org/observations/31433991,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2563458920,31433991,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.601541,20.35047,Ninh Binh,2019,7,5,cdround,https://www.inaturalist.org/observations/37632459,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2563486766,37632459,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.708038,20.258448,Ninh Binh,2019,7,2,cdround,https://www.inaturalist.org/observations/37711620,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2563504271,37711620,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.707815,20.258478,Ninh Binh,2019,7,3,cdround,https://www.inaturalist.org/observations/37713908,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2563504812,37713908,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.703746,20.260813,Ninh Binh,2019,7,4,cdround,https://www.inaturalist.org/observations/39537907,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2576481122,39537907,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.610557,21.222626,Vinh Phuc,2018,4,3,cdround,https://www.inaturalist.org/observations/36724201,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2529344668,36724201,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.745502,21.307076,Vinh Phuc,2018,4,3,cdround,https://www.inaturalist.org/observations/36724206,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2529354760,36724206,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.740489,21.225387,Vinh Phuc,2018,4,3,cdround,https://www.inaturalist.org/observations/36724196,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2540761632,36724196,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.602275,20.352578,Ninh Binh,2018,4,26,cdround,https://www.inaturalist.org/observations/11451543,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,2563429460,11451543,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.714716,20.249697,Ninh Binh,2018,6,14,cdround,https://www.inaturalist.org/observations/13730263,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,1880556582,13730263,NA,NA,NA
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,HUMAN_OBSERVATION,PRESENT,Acanthosaura lepidogaster,105.622726,20.323702,NA,2018,6,14,"cdround,gass84",NA,http://creativecommons.org/licenses/by/4.0/legalcode,WGS84,1934523885,20324456,Cuc Phuong National Parc,NA,NA
