"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","elevation","elevationAccuracy","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus spinalis",110.716783,30.148368,"Hunan",2021,5,2,"cdround","https://www.inaturalist.org/observations/77801699","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113345804","77801699",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus spinalis",110.782025,30.155051,"Hunan",2021,5,3,"cdround","https://www.inaturalist.org/observations/77802023","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113415786","77802023",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus spinalis",139.604717,35.260018,"Kanagawa",2020,7,24,"cdround","https://www.inaturalist.org/observations/109365647","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747184201","109365647",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus spinalis",113.288371,23.354879,"Guangdong",2020,11,10,"cdround","https://www.inaturalist.org/observations/66644090","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3005128059","66644090",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus spinalis",132.878983,33.620255,"Ehime",2018,7,29,"cdround","https://www.inaturalist.org/observations/15039486","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1890676345","15039486",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus spinalis",117.15639,25.334354,"Fujian",2018,7,31,"cdround","https://www.inaturalist.org/observations/35873106","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2460046735","35873106",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus spinalis",110.08065,25.621273,"Guangxi",2017,7,3,"cdround","https://www.inaturalist.org/observations/9536491","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1806335680","9536491",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus spinalis",132.093601,34.304393,"Yamaguchi",2017,10,21,"","https://www.inaturalist.org/observations/8747540","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1703147142","8747540",NA,NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Achalinus spinalis",107.15866,28.2254,"Guizhou",2006,4,22,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686692153","312258","ASIA","ETOH - 1; tissue - 100","Suiyang County","Kuankuoshui Nature Reserve, agricultural field in front of hotel",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Achalinus spinalis",107.56884,29.17801,"Guizhou",2006,5,4,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687001768","312259","ASIA","ETOH - 1; tissue - 100","Daozhen County","Dashahe Nature Reserve, on trail 0.86 miles NNW (by air) of reserve hotel",NA,NA,NA
"78f98484-a7ef-4e6c-8b51-7464f1209591","PRESERVED_SPECIMEN","PRESENT","Achalinus spinalis",139.02655,35.19018,"Kanagawa-ken",1998,9,13,"colmafu,inmafu","https://csvcoll.org/portal/collections/individual/index.php?occid=15783","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","2816173333","ASUHEC032962",NA,NA,"Ashigarashimo-gun","HAKONE TOWN",730,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Achalinus spinalis",115.98333,29.55215,"Jiangxi Province",1936,5,28,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:22167","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145531989","MVZ:Herp:22167","ASIA","whole organism",NA,"Luling, 1 mi S Guling, Lu shan",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Achalinus spinalis",139.197266,36.839317,NA,NA,NA,NA,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-13675","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476665572","R-13675","ASIA","whole animal (ethanol)",NA,"[no specific locality data]",NA,NA,NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Achalinus spinalis",131.42,31.92,"Kyushu Island",NA,NA,NA,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1318067177","USNM 30731","ASIA","Ethanol","Miyazaki Prefecture","Miyazaki",NA,NA,"PhysicalObject"
