"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","preparations","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",100.811809,21.995151,"Yunnan",2022,4,12,"","https://www.inaturalist.org/observations/111174335","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859886949","111174335",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",101.284126,21.911011,"Yunnan",2022,6,26,"cdround","https://www.inaturalist.org/observations/123498424","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860038028","123498424",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",114.110118,23.7161,"Guangdong",2022,7,25,"cdround","https://www.inaturalist.org/observations/128113549","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881737665","128113549",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",107.007725,20.783365,"H<U+1EA3>i Phong",2021,4,27,"cdround","https://www.inaturalist.org/observations/75412389","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109034224","75412389",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",107.025501,20.800858,"H<U+1EA3>i Phong",2021,5,7,"cdround","https://www.inaturalist.org/observations/79253421","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118204368","79253421",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",100.86599,22.174442,"Yunnan",2021,9,24,"cdround","https://www.inaturalist.org/observations/96207076","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384739281","96207076",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",107.980787,21.923033,"Guangxi",2020,11,15,"cdround","https://www.inaturalist.org/observations/66644093","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3005139057","66644093",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",105.71569,20.248555,"Ninh Binh",2019,4,27,"cdround","https://www.inaturalist.org/observations/27283275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2269313460","27283275",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",105.712657,20.252736,"Ninh Binh",2019,4,15,"cdround","https://www.inaturalist.org/observations/27283551","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2269314266","27283551",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",105.442943,20.948508,"Hoa Binh",2019,5,10,"cdround","https://www.inaturalist.org/observations/24880558","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2242926253","24880558",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",105.714837,20.24915,"Ninh Binh",2019,5,22,"cdround","https://www.inaturalist.org/observations/27283415","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2331834521","27283415",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",102.288991,21.187802,"Phongsali",2019,7,19,"cdround","https://www.inaturalist.org/observations/36020826","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2518083274","36020826",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",107.99559,21.681711,"Guangxi",2019,8,17,"","https://www.inaturalist.org/observations/35358425","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2451737404","35358425",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",102.611575,20.571035,"Louangphrabang",2019,11,27,"cdround","https://www.inaturalist.org/observations/127695991","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874014615","127695991",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",105.701237,21.250857,"Vinh Phuc",2018,4,2,"cdround","https://www.inaturalist.org/observations/36724172","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2529404261","36724172",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",101.981909,21.401478,"Phongsali",2018,7,23,"cdround","https://www.inaturalist.org/observations/36146632","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2465210346","36146632",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",111.816605,24.093404,"Guangxi",2018,10,9,"cdround","https://www.inaturalist.org/observations/37645319","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2557814895","37645319",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",105.716427,20.246133,"Ninh Binh",2017,10,29,"cdround","https://www.inaturalist.org/observations/8653460","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1702462152","8653460",NA,NA,NA,NA,NA,NA
