"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","continent","preparations","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",119.192678,26.104614,"Fujian",2022,2,14,"cdround","https://www.inaturalist.org/observations/106734241","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3698151553","106734241",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",114.145185,22.267244,"Central and Western",2022,5,6,"cdround","https://www.inaturalist.org/observations/115843155","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773442349","115843155",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",114.230178,22.396397,"Sha Tin",2022,7,13,"cdround","https://www.inaturalist.org/observations/126171974","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874079352","126171974",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",114.106225,22.49623,"North",2021,3,17,"","https://www.inaturalist.org/observations/71477670","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3061780388","71477670",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",117.646492,26.252775,"Fujian",2021,5,2,"cdround","https://www.inaturalist.org/observations/101079279","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415575809","101079279",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",114.150222,22.273356,"Central and Western",2020,5,10,"cdround","https://www.inaturalist.org/observations/45452457","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626244670","45452457",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",114.221145,22.381458,"Sha Tin",2020,5,25,"cdround","https://www.inaturalist.org/observations/47255669","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634486536","47255669",NA,NA,NA,NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",116.93,26.59,NA,2020,8,16,"gass84","https://www.ebi.ac.uk/ena/browser/view/MW327509","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3351878788","LSU20200816GX01",473,0," Xiafang, Mingxi, Fujian",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",113.563922,22.126087,"Ilhas",2020,11,17,"cdround","https://www.inaturalist.org/observations/65072589","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2988418313","65072589",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus chinensis",113.929179,22.277019,"Islands",2019,7,12,"cdround","https://www.inaturalist.org/observations/46459094","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626191502","46459094",NA,NA,NA,NA,NA,NA,NA
