"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","type","continent","locality","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus pellopleurus",127.714713,26.227604,"Okinawa",2021,3,18,"cdround","https://www.inaturalist.org/observations/101508161","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415992082","101508161",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus pellopleurus",128.253647,26.85542,"Okinawa",2020,4,23,"cdround","https://www.inaturalist.org/observations/42949799","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2609161168","42949799",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus pellopleurus",126.742522,26.358775,"Okinawa",2018,8,4,"cdround","https://www.inaturalist.org/observations/15095124","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2813982349","15095124",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus pellopleurus",125.282093,24.795966,"Okinawa",2016,4,2,"cdround","https://www.inaturalist.org/observations/38886012","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626135633","38886012",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus pellopleurus",127.728615,26.254444,"Okinawa",2016,11,26,"cdround","https://www.inaturalist.org/observations/4676864","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1640033076","4676864",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ateuchosaurus pellopleurus",128.180237,26.679367,"Okinawa",2013,6,11,"","https://www.inaturalist.org/observations/471661","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1640033107","471661",NA,NA,NA,NA,NA
"4cfcc190-f0e0-4611-8253-003481290d38","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",129.683333,28.45,NA,1964,7,NA,"cdround,gass84,typstativ,inmano",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3024561482","12642","container type: vial; preservation method: alcohol","PhysicalObject",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",127.826,26.336,"Okinawa Prefecture",1945,5,20,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55917","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476693641","R-55917","whole animal (ethanol)",NA,"ASIA","Koza,Okinawa",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",127.767,26.317,"Okinawa Prefecture",1945,6,13,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55926","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476705763","R-55926","whole animal (ethanol)",NA,"ASIA","Shido,Okinawa",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",127.77,26.309,"Okinawa Prefecture",1945,6,6,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55928","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476705765","R-55928","whole animal (ethanol)",NA,"ASIA","Chatan,Okinawa",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",127.818,26.418,"Okinawa Prefecture",1945,7,30,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55920","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476497658","R-55920","whole animal (ethanol)",NA,"ASIA","Iwa,Okinawa",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",127.75,26.167,"Okinawa Prefecture",1945,7,23,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55918","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476693642","R-55918","whole animal (ethanol)",NA,"ASIA","Karadera,Okinawa",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",127.9,26.617,"Okinawa Prefecture",1945,9,30,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55921","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476693749","R-55921","whole animal (ethanol)",NA,"ASIA","nr Suga,Motoban-Mura,Okinawa",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",127.874,26.374,"Okinawa Prefecture",1945,10,4,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55925","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476693753","R-55925","skeleton (dry)",NA,"ASIA","Tongan-Gawa,Mizato Mura,Okinawa",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus pellopleurus",127.75,26.35,"Okinawa Prefecture",1945,11,18,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55919","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476693643","R-55919","whole animal (ethanol)",NA,"ASIA","Nugun-Nozalo,Okinawa",NA
