"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.596794,24.643708,"Taiwan",2022,1,11,"cdround","https://www.inaturalist.org/observations/104748002","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456326001","104748002",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.376975,23.101353,"Taiwan",2022,1,25,"cdround","https://www.inaturalist.org/observations/105530520","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705476430","105530520",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.596583,24.643654,"Taiwan",2022,1,17,"cdround","https://www.inaturalist.org/observations/109822803","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759305327","109822803",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.397547,23.717625,"Taiwan",2022,2,16,"cdround","https://www.inaturalist.org/observations/106836464","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499606111","106836464",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.597048,24.643737,"Taiwan",2022,2,18,"cdround","https://www.inaturalist.org/observations/108929651","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3746966682","108929651",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.596973,24.643694,"Taiwan",2022,2,18,"cdround","https://www.inaturalist.org/observations/110648584","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760184102","110648584",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.596673,24.64369,"Taiwan",2022,3,5,"cdround","https://www.inaturalist.org/observations/108778998","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743067775","108778998",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.043361,22.764152,"Taiwan",2022,3,17,"cdround","https://www.inaturalist.org/observations/108856871","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747013526","108856871",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",120.847113,24.138967,"Taichung",2022,3,18,"cdround","https://www.inaturalist.org/observations/108880702","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747233565","108880702",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga kraepelini",121.537931,25.062273,"Taipei",2022,3,1,"cdround","https://www.inaturalist.org/observations/118256294","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802573097","118256294",NA,NA,NA,NA
