"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","preparations","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.495029,22.307422,"Guangdong",2022,3,26,"cdround","https://www.inaturalist.org/observations/128112111","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881420567","128112111",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.368407,23.240244,"Guangdong",2022,4,14,"cdround","https://www.inaturalist.org/observations/111500730","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759985007","111500730",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.351451,23.207152,"Guangdong",2022,4,25,"cdround","https://www.inaturalist.org/observations/112936708","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764128018","112936708",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.403425,23.291665,"Guangdong",2022,5,6,"cdround","https://www.inaturalist.org/observations/115864593","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772517310","115864593",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.381876,23.293206,"Guangdong",2022,5,6,"cdround","https://www.inaturalist.org/observations/115864591","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772533582","115864591",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",114.286458,22.485287,"Tai Po",2022,5,18,"cdround","https://www.inaturalist.org/observations/118396104","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3802708325","118396104",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.431582,22.232637,"Guangdong",2022,5,10,"cdround","https://www.inaturalist.org/observations/128112412","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881574600","128112412",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.421553,22.269815,"Guangdong",2022,5,21,"cdround","https://www.inaturalist.org/observations/128112623","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881580644","128112623",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.423922,22.238055,"Guangdong",2022,7,27,"cdround","https://www.inaturalist.org/observations/128271699","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881789668","128271699",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",114.169361,22.319304,"Yau Tsim Mong",2021,4,13,"cdround","https://www.inaturalist.org/observations/73938868","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090672845","73938868",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",114.373644,22.497564,"North",2021,4,18,"cdround","https://www.inaturalist.org/observations/74374087","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097273993","74374087",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.594959,22.220612,"Guangdong",2021,5,8,"cdround","https://www.inaturalist.org/observations/77806460","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113565780","77806460",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",114.34732,22.460516,"Tai Po",2021,5,21,"cdround","https://www.inaturalist.org/observations/80879894","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301955782","80879894",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",113.284804,23.300657,"Guangdong",2021,5,28,"cdround","https://www.inaturalist.org/observations/82126803","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302455882","82126803",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",114.196237,22.306484,"Central and Western",2021,5,5,"cdround","https://www.inaturalist.org/observations/104936161","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455887849","104936161",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",114.138624,22.281697,"Central and Western",2021,6,20,"cdround","https://www.inaturalist.org/observations/83942795","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3314251099","83942795",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",114.103765,22.438501,"North",2021,6,25,"cdround","https://www.inaturalist.org/observations/84433589","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3320851658","84433589",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bungarus fasciatus",114.038642,22.394284,"Tsuen Wan",2021,6,26,"cdround","https://www.inaturalist.org/observations/84656839","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3320924890","84656839",NA,NA,NA,NA,NA,NA,NA
