"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","preparations","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.270392,21.916755,"Yunnan",2022,5,29,"cdround","https://www.inaturalist.org/observations/126009359","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874090263","126009359",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.273887,21.917224,"Yunnan",2022,7,25,"cdround","https://www.inaturalist.org/observations/127934461","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874108521","127934461",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.465238,20.851339,"Louang Namtha",2021,3,3,"cdround","https://www.inaturalist.org/observations/70491822","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3058937750","70491822",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.380909,21.739677,"Yunnan",2021,3,25,"","https://www.inaturalist.org/observations/72668165","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333263402","72668165",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",100.859552,22.169705,"Yunnan",2021,8,9,"cdround","https://www.inaturalist.org/observations/101871640","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455320522","101871640",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",100.762474,22.057817,"Yunnan",2021,8,9,"cdround","https://www.inaturalist.org/observations/90727389","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759877661","90727389",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.281395,21.911301,"Yunnan",2020,3,16,"cdround","https://www.inaturalist.org/observations/40069905","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2580235740","40069905",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",100.776887,24.59642,"Yunnan",2020,4,3,"cdround","https://www.inaturalist.org/observations/46672512","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858173471","46672512",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.276222,21.92227,"Yunnan",2020,6,16,"cdround","https://www.inaturalist.org/observations/49798101","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2803009241","49798101",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.25132,21.932974,"Yunnan",2020,6,24,"cdround","https://www.inaturalist.org/observations/123499002","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860226245","123499002",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.267128,21.915395,"Yunnan",2020,9,26,"cdround","https://www.inaturalist.org/observations/60806789","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873906695","60806789",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",100.890189,22.24506,"Yunnan",2020,9,24,"cdround","https://www.inaturalist.org/observations/60595939","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070590104","60595939",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.256212,21.927763,"Yunnan",2020,11,9,"cdround","https://www.inaturalist.org/observations/64717045","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3039335725","64717045",NA,NA,NA,NA,NA,NA
