"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","elevation","elevationAccuracy","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.981058,24.963418,"Taiwan",2022,4,24,"cdround","https://www.inaturalist.org/observations/112608332","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3764348720","112608332",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.646589,23.792637,"Taiwan",2022,5,1,"cdround","https://www.inaturalist.org/observations/114138379","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772801862","114138379",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.419028,23.411991,"Taiwan",2022,5,2,"cdround","https://www.inaturalist.org/observations/114582072","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773283672","114582072",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.578357,23.223482,"Tainan",2022,5,22,"cdround","https://www.inaturalist.org/observations/118305204","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802685678","118305204",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.775782,25.161553,"Taipei",2022,5,29,"cdround","https://www.inaturalist.org/observations/119207583","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3858601548","119207583",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.609347,24.771114,"Taiwan",2022,6,11,"cdround","https://www.inaturalist.org/observations/121577936","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859994536","121577936",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.692996,23.664463,"Taiwan",2022,6,28,"cdround","https://www.inaturalist.org/observations/123814882","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860078499","123814882",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.558199,23.90413,"Taiwan",2022,6,19,"cdround","https://www.inaturalist.org/observations/123485337","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860153162","123485337",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.788841,23.447697,"Taiwan",2022,7,3,"cdround","https://www.inaturalist.org/observations/124529153","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858855024","124529153",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",124.29267,24.496305,"Okinawa",2022,7,9,"cdround","https://www.inaturalist.org/observations/125885790","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873369275","125885790",NA,NA,NA,NA,NA,NA,NA
