"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",107.158603,20.630886,"H<U+1EA3>i Phong",2021,4,13,"cdround","https://www.inaturalist.org/observations/79344300","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118411517","79344300",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",107.071013,20.74659,"H<U+1EA3>i Phong",2021,6,4,"cdround","https://www.inaturalist.org/observations/85338759","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325560633","85338759",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",107.139409,20.86686,"H<U+1EA3>i Phong",2021,7,19,"cdround","https://www.inaturalist.org/observations/96854452","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384403972","96854452",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",107.052991,20.856646,"H<U+1EA3>i Phong",2021,8,1,"cdround","https://www.inaturalist.org/observations/96854453","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384168992","96854453",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",107.142351,20.831232,"H<U+1EA3>i Phong",2021,10,12,"cdround","https://www.inaturalist.org/observations/101703216","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3416185455","101703216",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",107.157798,20.668098,"H<U+1EA3>i Phong",2020,8,20,"cdround","https://www.inaturalist.org/observations/59201613","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044587686","59201613",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",107.065373,20.665705,"H<U+1EA3>i Phong",2020,11,15,"cdround","https://www.inaturalist.org/observations/70594247","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3059155765","70594247",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",105.633864,20.202288,"Ninh Binh",2019,10,9,"cdround","https://www.inaturalist.org/observations/81982358","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872969439","81982358",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",107.142325,20.764381,"H<U+1EA3>i Phong",2018,7,24,"cdround","https://www.inaturalist.org/observations/22500276","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2236880770","22500276",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora mouhotii",106.826695,20.779619,"H<U+1EA3>i Phong",2015,4,15,"cdround","https://www.inaturalist.org/observations/22501030","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044601361","22501030",NA,NA,NA,NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Cuora mouhotii",105.575,20.358,NA,2006,5,10,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:253077","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145566079","MVZ:Herp:253077",328,0,"ASIA","media","Cuc Phuong National Park",NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Cuora mouhotii",105.618,20.327,NA,2006,5,10,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:253079","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","2901008301","MVZ:Herp:253079",251.5,1.5,"ASIA","media","Cuc Phuong National Park",NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Cuora mouhotii",105.576,20.357,NA,2006,5,10,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:253080","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","2901009302","MVZ:Herp:253080",343,0,"ASIA","media","Cuc Phuong National Park",NA
