"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",121.014367,24.191613,"Taichung",2022,3,17,"cdround","https://www.inaturalist.org/observations/108836794","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743048869","108836794",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",121.57567,24.603849,"Taipei",2022,6,27,"cdround","https://www.inaturalist.org/observations/123801428","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859663565","123801428",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",114.272917,25.946564,"Jiangxi",2022,6,24,"cdround","https://www.inaturalist.org/observations/123235979","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860548009","123235979",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",120.800171,22.026307,"Taiwan",2021,3,14,"cdround","https://www.inaturalist.org/observations/71195258","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3061727870","71195258",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",121.433653,24.647652,"Taipei",2021,4,2,"cdround","https://www.inaturalist.org/observations/72763911","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079825417","72763911",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",121.482645,23.878905,"Taiwan",2021,4,22,"","https://www.inaturalist.org/observations/100491899","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415569048","100491899",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",121.502287,24.679938,"Taipei",2021,5,8,"cdround","https://www.inaturalist.org/observations/77931370","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113452009","77931370",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",121.444703,24.709954,"Taipei",2021,5,15,"cdround","https://www.inaturalist.org/observations/78883196","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3117793905","78883196",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",121.546902,24.729818,"Taipei",2021,5,9,"cdround","https://www.inaturalist.org/observations/80175937","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124610393","80175937",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",118.523719,30.306586,"Anhui",2021,5,28,"cdround","https://www.inaturalist.org/observations/81079843","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302300714","81079843",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",121.361959,24.676142,"Taipei",2021,7,12,"cdround","https://www.inaturalist.org/observations/87351314","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330430748","87351314",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",112.196567,25.369725,"Hunan",2021,7,25,"cdround","https://www.inaturalist.org/observations/99698285","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3407969680","99698285",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Deinagkistrodon acutus",119.434314,30.327627,"Zhejiang",2021,7,22,"cdround","https://www.inaturalist.org/observations/100332690","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415474227","100332690",NA,NA,NA,NA,NA,NA
