"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",100.237582,20.245025,"Chiang Rai",2022,1,4,"cdround","https://www.inaturalist.org/observations/122769288","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859318539","122769288",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",100.077995,20.366991,"Chiang Rai",2021,9,19,"cdround","https://www.inaturalist.org/observations/95373245","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384069476","95373245",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",105.610456,20.319696,"Ninh Binh",2020,3,9,"cdround","https://www.inaturalist.org/observations/89374246","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335384854","89374246",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",101.254623,21.929167,"Yunnan",2020,6,24,"cdround","https://www.inaturalist.org/observations/50781525","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814033811","50781525",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",101.256721,21.928928,"Yunnan",2020,7,16,"cdround","https://www.inaturalist.org/observations/53234923","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2826197685","53234923",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",101.268234,21.919863,"Yunnan",2019,11,29,"cdround","https://www.inaturalist.org/observations/36179923","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2465305366","36179923",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",105.716334,20.245857,"Ninh Binh",2018,4,8,"cdround","https://www.inaturalist.org/observations/10700616","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1838026177","10700616",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",105.716406,20.246217,"Ninh Binh",2017,11,7,"cdround","https://www.inaturalist.org/observations/8720851","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1703146195","8720851",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",102.712165,20.678615,"Louangphrabang",2016,5,19,"cdround","https://www.inaturalist.org/observations/109349553","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3858298924","109349553",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",101.451798,20.964729,"Louang Namtha",2012,10,1,"cdround","https://www.inaturalist.org/observations/26660993","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802723413","26660993",NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",101.816955,22.169858,NA,2011,4,3,"cdround,osiic","https://data.biodiversitydata.nl/obsint/observation/OBS.53849973","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2839825015","OBS.53849973","Laos - Phongsali",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",101.268969,20.408351,"Louang Namtha",2010,10,11,"cdround","https://www.inaturalist.org/observations/82342335","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337507543","82342335",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",100.046611,20.261392,"Chiang Rai",2009,10,23,"cdround","https://www.inaturalist.org/observations/91934492","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355452797","91934492",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Dendrelaphis pictus",107.889133,21.846233,"Guangxi",2005,5,1,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687008892","311457","Shiwan Dashang Nature Reserve (Near town of Fulong)","ASIA","tissue - 100; ETOH - 1"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dendrelaphis pictus",102.045755,21.672805,"Phongsali",2004,7,12,"cdround","https://www.inaturalist.org/observations/97693","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070488303","97693",NA,NA,NA
