"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Draco maculatus",101.256294,21.929174,"Yunnan",2020,3,19,"cdround","https://www.inaturalist.org/observations/40224215","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2580263081","40224215",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Draco maculatus",101.257118,21.92885,"Yunnan",2019,4,21,"cdround","https://www.inaturalist.org/observations/22849902","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2237475637","22849902",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Draco maculatus",105.715417,20.248432,"Ninh Binh",2019,4,22,"cdround","https://www.inaturalist.org/observations/27302729","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814152388","27302729",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Draco maculatus",105.608731,20.316745,"Ninh Binh",2016,4,3,"cdround","https://www.inaturalist.org/observations/69552853","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3058918659","69552853",NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Draco maculatus",107.881667,25.481667,"Guizhou",2007,4,1,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686690438","312113","ASIA","ETOH - 1; tissue - 100","Libo County","Shuipu Village",NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Draco maculatus",107.889133,21.846233,"Guangxi",2005,5,6,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686675302","311488","ASIA","ETOH - 1; tissue - 100",NA,"Shiwan Dashang Nature Reserve (Near town of Fulong)",NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Draco maculatus",107.79922,21.30342,"Guangxi",2005,5,3,"cucdmis,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686676365","311481","ASIA","ETOH - 1; tissue - 100",NA,"Town of Wang Le",NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Draco maculatus",106.4775,21.212222,"Hia Duong",1998,4,NA,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211750350","35899","ASIA","Whole specimen (ETOH); Tissue",NA,"Chi Linh vicinity; Hoang Hua Tham Village","PhysicalObject"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Draco maculatus",105.641389,21.454167,"Vinh Phu",1997,5,NA,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211746250","32008","ASIA","Whole specimen (ETOH)",NA,"Tam Dao","PhysicalObject"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Draco maculatus",116.260833,37.690556,"Hainan",1986,4,26,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-174997","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476499896","R-174997","ASIA","whole animal (ethanol)",NA,"Ching po,ca 4km W. Miao Village 250m. (Chang Xing)",NA
