"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","elevation","elevationAccuracy","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",138.966534,35.161906,"Shizuoka",2022,3,30,"","https://www.inaturalist.org/observations/121795084","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860574697","121795084",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",139.588237,35.445281,"Kanagawa",2022,4,9,"cdround","https://www.inaturalist.org/observations/111374490","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759329863","111374490",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",139.254909,35.630138,"Tokyo",2022,4,10,"cdround","https://www.inaturalist.org/observations/110973070","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759720447","110973070",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",139.754496,35.604016,"Tokyo",2022,4,19,"cdround","https://www.inaturalist.org/observations/112024224","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759825537","112024224",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",136.908162,35.12445,"Aichi",2022,4,26,"cdround","https://www.inaturalist.org/observations/112918747","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764240019","112918747",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",134.424286,34.022171,"Tokushima",2022,4,13,"cdround","https://www.inaturalist.org/observations/113188979","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764488211","113188979",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",138.25078,36.393391,"Nagano",2022,4,25,"cdround","https://www.inaturalist.org/observations/114115058","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772963338","114115058",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",129.961455,32.766427,"Nagasaki",2022,4,20,"","https://www.inaturalist.org/observations/121822006","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860133665","121822006",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",132.9206,33.145319,"Kochi",2022,5,4,"cdround","https://www.inaturalist.org/observations/115675566","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772486085","115675566",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe climacophora",139.209849,35.521902,"Kanagawa",2022,5,4,"cdround","https://www.inaturalist.org/observations/115337937","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772879939","115337937",NA,NA,NA,NA,NA,NA,NA
