"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","locality","continent","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.472586,22.655465,"Taiwan",2022,1,8,"cdround","https://www.inaturalist.org/observations/104869198","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456272022","104869198",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.472128,22.655627,"Taiwan",2022,1,8,"cdround","https://www.inaturalist.org/observations/104810121","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456673506","104810121",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.882145,26.508049,"Okinawa",2022,2,13,"cdround","https://www.inaturalist.org/observations/107039615","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3698355544","107039615",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.859251,26.512618,"Okinawa",2022,4,10,"cdround","https://www.inaturalist.org/observations/110981868","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3760354503","110981868",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.556704,22.021711,"Taiwan",2022,5,14,"cdround","https://www.inaturalist.org/observations/117720615","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784832567","117720615",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.52039,22.087578,"Taiwan",2022,5,13,"cdround","https://www.inaturalist.org/observations/117835090","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802270613","117835090",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.896266,26.513815,"Okinawa",2022,6,11,"cdround","https://www.inaturalist.org/observations/123686724","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860483295","123686724",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",128.20517,26.770503,"Okinawa",2021,1,14,"cdround","https://www.inaturalist.org/observations/68051301","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3031975739","68051301",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",128.110611,26.693463,"Okinawa",2021,1,20,"cdround","https://www.inaturalist.org/observations/68364070","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3032123288","68364070",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.894815,26.447247,"Okinawa",2021,4,11,"cdround","https://www.inaturalist.org/observations/98711609","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3399407479","98711609",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.480785,22.678471,"Taiwan",2021,8,24,"cdround","https://www.inaturalist.org/observations/92340958","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3343917629","92340958",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.468684,22.627604,"Taiwan",2021,8,25,"cdround","https://www.inaturalist.org/observations/92427942","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3344107833","92427942",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.470224,22.653562,"Taiwan",2021,10,16,"cdround","https://www.inaturalist.org/observations/99061604","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3399220857","99061604",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.473161,22.655407,"Taiwan",2021,10,16,"cdround","https://www.inaturalist.org/observations/99071438","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3399374829","99071438",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.564801,22.006235,"Taiwan",2021,10,19,"cdround","https://www.inaturalist.org/observations/99858344","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3872877511","99858344",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.481516,22.677577,"Taiwan",2020,6,25,"cdround","https://www.inaturalist.org/observations/51230667","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3873649388","51230667",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.334402,26.222757,"Okinawa",2020,12,28,"cdround","https://www.inaturalist.org/observations/67294472","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3013860127","67294472",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.473276,22.677414,"Taiwan",2019,9,13,"cdround","https://www.inaturalist.org/observations/33195015","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423189453","33195015",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.574987,22.08475,"Taiwan",2017,6,23,"","https://www.inaturalist.org/observations/33518820","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2429281076","33518820",NA,NA,NA,NA
