"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",114.30525,30.59276,"Hubei",2022,4,3,"cdround","https://www.inaturalist.org/observations/111766370","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764358456","111766370",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",105.706849,43.498965,"Omnogovi",2022,7,6,"cdround","https://www.inaturalist.org/observations/125289337","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872908098","125289337",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",114.288688,38.069801,"Hebei",2021,5,22,"","https://www.inaturalist.org/observations/79918846","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124784908","79918846",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",119.444225,39.800233,"Hebei",2021,5,19,"cdround","https://www.inaturalist.org/observations/81523905","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302536678","81523905",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",119.22096,47.115089,"Dornod",2021,5,31,"cdround","https://www.inaturalist.org/observations/84937375","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3320887215","84937375",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",106.036436,38.609057,"Ningxia Hui",2021,5,21,"cdround","https://www.inaturalist.org/observations/111197890","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764537436","111197890",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",107.567717,51.772562,"Buryat",2021,6,25,"cdround","https://www.inaturalist.org/observations/97256280","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384799327","97256280",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",111.705465,41.008102,"Nei Mongol",2021,7,13,"","https://www.inaturalist.org/observations/86826351","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327730286","86826351",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",111.705397,41.008215,"Nei Mongol",2021,7,13,"cdround","https://www.inaturalist.org/observations/88131927","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330903515","88131927",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",118.843234,47.508403,"Dornod",2021,7,25,"cdround","https://www.inaturalist.org/observations/88901464","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333501339","88901464",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",115.846791,40.396037,"Beijing",2021,8,9,"cdround","https://www.inaturalist.org/observations/90509198","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337750361","90509198",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",102.868581,44.440917,"Ovorhangay",2021,8,12,"cdround","https://www.inaturalist.org/observations/92752526","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355059987","92752526",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",113.468551,46.293857,"Suhbaatar",2020,9,28,"cdround","https://www.inaturalist.org/observations/84936904","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3320937237","84936904",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",127.061667,37.788889,"Gyeonggi-do",2020,10,3,"cdround","https://www.inaturalist.org/observations/61539185","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2882952826","61539185",NA,NA,NA,NA,NA,NA,NA
