"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias multiocellata",106.39758,46.154094,"Dundgovi",2021,5,17,"cdround","https://www.inaturalist.org/observations/79147040","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118393252","79147040",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias multiocellata",105.14571,43.9771,"Omnogovi",2018,6,7,"","https://www.inaturalist.org/observations/58495079","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963791463","58495079",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias multiocellata",101.447905,45.035293,"Ovorhangay",2017,4,30,"cdround","https://www.inaturalist.org/observations/63689269","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963818053","63689269",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias multiocellata",102.692839,44.051487,"Omnogovi",2017,6,17,"cdround","https://www.inaturalist.org/observations/71814183","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067883378","71814183",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias multiocellata",106.321089,44.942665,"Dundgovi",2011,7,3,"cdround","https://www.inaturalist.org/observations/36158836","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2465305296","36158836",NA,NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Eremias multiocellata",106.8093,45.137383,"Dundgovi",2009,6,8,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687004937","331052","ASIA","tissue - 100; ETOH - 1","Site 1",NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias multiocellata",105.12,44.25,NA,2008,9,3,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251017789","R-12863-2",NA,NA,"Umnegov, 102 km N.-W. Dalan-Dzadagad",1232,0,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias multiocellata",106.53,46.58,"Dundgovi",2008,9,4,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251019728",NA,NA,NA,"98 km N Mandal-Gobi",1330,0,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias multiocellata",110.2,44.9,"Dornogovi",2007,6,20,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251017945","R-12610-1",NA,NA,"Sain-Shand",NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias multiocellata",106.3,44.35,"Dundgovi",2007,8,15,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251018007","R-12608-1",NA,NA,"Uldziit somon",NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias multiocellata",100.7,45.22,NA,2005,8,1,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2248494461","R-12045-1",NA,NA,"Bayan-Khongor aimak, Ekhiin-gol biostation",980,0,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias multiocellata",101.08,38.78,"Gansu",2003,8,10,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251017880",NA,NA,NA,"Shandan",2000,0,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Eremias multiocellata",104.566977888889,37.4667379668123,"Ningxia Hui Autonomous Region",1988,8,10,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:211337","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145520500","MVZ:Herp:211337","ASIA","whole organism","9.3 km E Xiaohongshan [=37.31N 104.27E], 61.2 km W Shapotou Desert Research Station [=Shapatou] on Gaolan-Zhongwei Rd., Yinnan Prefecture",NA,NA,NA,NA
