"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias przewalskii",108.376024,43.229817,"Dornogovi",2021,5,25,"cdround","https://www.inaturalist.org/observations/80320676","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124745043","80320676",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias przewalskii",103.747559,45.034966,"Omnogovi",2021,8,12,"cdround","https://www.inaturalist.org/observations/92752697","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355283031","92752697",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias przewalskii",100.920219,45.052688,"Bayanhongor",2017,5,1,"cdround","https://www.inaturalist.org/observations/63689061","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963870074","63689061",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias przewalskii",102.337435,43.756255,"Omnogovi",2015,6,20,"cdround","https://www.inaturalist.org/observations/72293485","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070666767","72293485",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias przewalskii",103.452147,42.766058,"Omnogovi",2013,8,17,"","https://www.inaturalist.org/observations/612404","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1838074979","612404",NA,NA,NA
"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","HUMAN_OBSERVATION","PRESENT","Eremias przewalskii",103.706306,44.190636,NA,2012,8,1,"cdround,gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1883815193","-67680015","Saxaul-Wald sudlich Bayanzag",NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Eremias przewalskii",100.066,43.584,"Omnogovi",2010,6,30,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686674397","331254","Gurvantes Soum","ASIA","tissue - 100; ETOH - 1"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Eremias przewalskii",103.407,43.435,"Omnogovi",2010,7,6,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686676244","331258","Site en route 2","ASIA","ETOH - 1; tissue - 100"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Eremias przewalskii",102.25509,43.77312,"Omnogovi",2009,6,18,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686676173","331058","Khongoryn Els, Gobi Gurvansaikhan National Park","ASIA","ETOH - 1; tissue - 100"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Eremias przewalskii",102.257417,43.7754,"Omnogovi",2009,6,23,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686679232","331076","Khongoryn Els, Gobi Gurvansaikhan National Park","ASIA","tissue - 100; ETOH - 1"
