"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",134.045175,34.327017,"Kagawa",2022,5,25,"cdround","https://www.inaturalist.org/observations/118625541","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802514598","118625541"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",133.93248,34.169865,"Kagawa",2022,5,25,"cdround","https://www.inaturalist.org/observations/118888171","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859208249","118888171"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",137.817322,35.441775,"Nagano",2022,6,8,"cdround","https://www.inaturalist.org/observations/123791489","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860738362","123791489"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",141.322342,43.037567,"Hokkaido",2022,7,3,"cdround","https://www.inaturalist.org/observations/124481275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860627970","124481275"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",137.07664,35.259328,"Aichi",2021,2,6,"cdround","https://www.inaturalist.org/observations/69545251","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3070461441","69545251"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",140.681418,38.728828,"Miyagi",2021,5,4,"cdround","https://www.inaturalist.org/observations/77221839","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112861258","77221839"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",140.199738,39.630162,"Akita",2021,5,18,"cdround","https://www.inaturalist.org/observations/79614474","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124566628","79614474"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",139.106212,35.691259,"Tokyo",2021,5,29,"cdround","https://www.inaturalist.org/observations/80835539","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301791306","80835539"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",130.910438,31.885576,"Miyazaki",2021,5,29,"cdround","https://www.inaturalist.org/observations/80860693","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301872420","80860693"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Euprepiophis conspicillata",139.087622,35.692272,"Tokyo",2021,5,29,"cdround","https://www.inaturalist.org/observations/80835213","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302248195","80835213"
