"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","type","continent","preparations","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",114.199687,22.381424,"Sha Tin",2022,1,17,"cdround","https://www.inaturalist.org/observations/105152977","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456323722","105152977",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",120.062757,23.08175,"Tainan",2022,1,12,"cdround","https://www.inaturalist.org/observations/104893460","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456513788","104893460",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",120.883282,23.977267,"Taiwan",2022,1,6,"cdround","https://www.inaturalist.org/observations/104511098","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456964448","104511098",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",113.9936,22.367747,"Tuen Mun",2022,1,31,"cdround","https://www.inaturalist.org/observations/105902181","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3465938941","105902181",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",113.99382,22.45911,"Yuen Long",2022,1,15,"","https://www.inaturalist.org/observations/105309455","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3465993054","105309455",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",114.213123,22.27878,"Eastern",2022,2,11,"cdround","https://www.inaturalist.org/observations/106541797","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499345535","106541797",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",114.195162,22.238663,"Southern",2022,2,11,"cdround","https://www.inaturalist.org/observations/106601001","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499501761","106601001",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",113.974991,22.563929,"Guangdong",2022,2,11,"cdround","https://www.inaturalist.org/observations/106847507","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499570371","106847507",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",120.628857,23.725275,"Taiwan",2022,2,25,"cdround","https://www.inaturalist.org/observations/107442708","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705817584","107442708",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",120.774008,24.40316,"Taiwan",2022,2,16,"cdround","https://www.inaturalist.org/observations/109989212","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759531447","109989212",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",120.614416,23.911923,"Taiwan",2022,2,26,"cdround","https://www.inaturalist.org/observations/107471695","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764239416","107471695",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",114.013747,22.368753,"Tuen Mun",2022,3,1,"cdround","https://www.inaturalist.org/observations/107684682","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705595831","107684682",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",113.88357,22.222621,"Islands",2022,3,4,"cdround","https://www.inaturalist.org/observations/107892555","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712400586","107892555",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",114.210237,22.253054,"Southern",2022,3,5,"cdround","https://www.inaturalist.org/observations/107936483","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712592624","107936483",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",114.120597,22.224585,"Islands",2022,3,16,"cdround","https://www.inaturalist.org/observations/108724214","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3742999914","108724214",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",114.039809,22.44647,"Yuen Long",2022,3,15,"cdround","https://www.inaturalist.org/observations/108639080","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743304092","108639080",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis longicaudata",114.145657,22.253629,"Southern",2022,3,17,"cdround","https://www.inaturalist.org/observations/108781149","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743314286","108781149",NA,NA,NA,NA,NA,NA,NA
