"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","elevation","elevationAccuracy","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.140297,22.445918,"Tai Po",2022,1,26,"cdround","https://www.inaturalist.org/observations/105690217","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3465970905","105690217",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",113.314287,22.95012,"Guangdong",2022,1,25,"cdround","https://www.inaturalist.org/observations/105549082","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466215797","105549082",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.263966,22.374227,"Sai Kung",2022,3,14,"cdround","https://www.inaturalist.org/observations/108576976","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3742992524","108576976",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.265054,22.374089,"Sai Kung",2022,3,14,"cdround","https://www.inaturalist.org/observations/108630065","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743072793","108630065",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.264375,22.374905,"Sai Kung",2022,3,13,"","https://www.inaturalist.org/observations/108556322","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743076862","108556322",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.262217,22.375145,"Sai Kung",2022,3,13,"cdround","https://www.inaturalist.org/observations/108508609","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743202828","108508609",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.018581,22.290826,"Islands",2022,4,9,"cdround","https://www.inaturalist.org/observations/110832704","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759909273","110832704",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",113.560822,22.12073,"Ilhas",2022,4,13,"cdround","https://www.inaturalist.org/observations/111369749","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760325803","111369749",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.265728,22.374156,"Sai Kung",2022,4,22,"cdround","https://www.inaturalist.org/observations/112407674","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764105533","112407674",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.265293,22.374232,"Sai Kung",2022,4,29,"cdround","https://www.inaturalist.org/observations/114479156","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772710146","114479156",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.055401,22.495223,"Yuen Long",2022,5,17,"cdround","https://www.inaturalist.org/observations/118192676","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802408932","118192676",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",121.492478,25.115683,"Taipei",2022,5,30,"cdround","https://www.inaturalist.org/observations/119384009","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3858719698","119384009",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",113.998947,22.533799,"Guangdong",2022,5,28,"cdround","https://www.inaturalist.org/observations/119382038","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859444662","119382038",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.264942,22.374263,"Sai Kung",2022,5,29,"cdround","https://www.inaturalist.org/observations/119353944","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860370662","119353944",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.265843,22.374132,"Sai Kung",2022,6,25,"cdround","https://www.inaturalist.org/observations/123653855","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859528274","123653855",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.265643,22.374443,"Sai Kung",2022,6,25,"cdround","https://www.inaturalist.org/observations/123639919","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859585403","123639919",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.115018,22.527893,"North",2022,6,7,"","https://www.inaturalist.org/observations/120630180","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859769764","120630180",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",114.264947,22.374791,"Sai Kung",2022,6,25,"cdround","https://www.inaturalist.org/observations/123497923","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860463232","123497923",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Fowlea flavipunctatus",120.734998,24.115117,"Taichung",2022,6,12,"cdround","https://www.inaturalist.org/observations/121415970","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873593707","121415970",NA,NA,NA,NA,NA,NA
