"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","type","elevation","preparations","locality","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.401142,20.976224,"Louang Namtha",2022,1,14,"cdround","https://www.inaturalist.org/observations/104911216","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456027725","104911216",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.572541,21.48802,"Yunnan",2022,2,20,"cdround","https://www.inaturalist.org/observations/107111589","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3698352763","107111589",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.403709,20.975592,"Louang Namtha",2022,4,21,"cdround","https://www.inaturalist.org/observations/112261242","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759827773","112261242",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.403992,20.976774,"Louang Namtha",2022,4,21,"cdround","https://www.inaturalist.org/observations/112262662","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759991677","112262662",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.515058,21.544405,"Yunnan",2022,5,4,"cdround","https://www.inaturalist.org/observations/116038489","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773659787","116038489",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",113.94325,22.276625,"Islands",2022,5,21,"cdround","https://www.inaturalist.org/observations/117962129","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802572765","117962129",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.181343,22.493192,"Tai Po",2022,6,11,"cdround","https://www.inaturalist.org/observations/121205188","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858653315","121205188",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",120.291342,22.677198,"Kaohsiung",2022,6,23,"cdround","https://www.inaturalist.org/observations/123169567","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858737901","123169567",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.170543,22.499124,"North",2022,6,18,"cdround","https://www.inaturalist.org/observations/123532599","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3872882809","123532599",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.168197,22.495667,"North",2022,7,23,"cdround","https://www.inaturalist.org/observations/127523285","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873095130","127523285",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.168645,22.495902,"North",2022,7,23,"cdround","https://www.inaturalist.org/observations/127531658","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873332020","127531658",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",113.941751,22.266778,"Islands",2022,7,14,"cdround","https://www.inaturalist.org/observations/126226860","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873333547","126226860",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.355559,22.229556,"Sha Tin",2022,7,14,"cdround,cudc","https://www.inaturalist.org/observations/126319521","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3873905376","126319521",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.227013,22.400845,"Sha Tin",2022,7,13,"cdround","https://www.inaturalist.org/observations/126171832","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874196294","126171832",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.255878,21.926928,"Yunnan",2022,7,30,"cdround","https://www.inaturalist.org/observations/128596119","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881371131","128596119",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",113.941751,22.266934,"Islands",2021,2,15,"cdround","https://www.inaturalist.org/observations/69854903","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044801675","69854903",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.407963,20.997055,"Louang Namtha",2021,3,25,"cdround","https://www.inaturalist.org/observations/72342287","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070518130","72342287",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.409283,21.003087,"Louang Namtha",2021,3,16,"cdround","https://www.inaturalist.org/observations/72156186","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079526174","72156186",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.191016,22.363459,"Sha Tin",2021,3,30,"cdround","https://www.inaturalist.org/observations/72876610","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079664585","72876610",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.211463,22.342348,"Southern",2021,4,3,"cdround","https://www.inaturalist.org/observations/77159561","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112451154","77159561",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.178177,22.446275,"Tai Po",2021,6,6,"cdround","https://www.inaturalist.org/observations/81816818","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3307403511","81816818",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.16869,22.495213,"North",2021,7,10,"cdround","https://www.inaturalist.org/observations/86715111","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327790155","86715111",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.168715,22.49429,"North",2021,7,5,"cdround","https://www.inaturalist.org/observations/86951920","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327906421","86951920",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.169179,22.496298,"North",2021,10,2,"cdround","https://www.inaturalist.org/observations/96979206","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384397122","96979206",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.254544,21.929792,"Yunnan",2021,10,9,"cdround","https://www.inaturalist.org/observations/123498992","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860482137","123498992",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",102.293685,20.024772,"Louangphrabang",2020,3,1,"cdround","https://www.inaturalist.org/observations/40353753","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596229406","40353753",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.171633,22.494264,"North",2020,3,21,"cdround","https://www.inaturalist.org/observations/44111012","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611312679","44111012",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.341998,22.418744,"Tai Po",2020,4,14,"cdround","https://www.inaturalist.org/observations/42163488","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2603284685","42163488",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",101.264427,21.916037,"Yunnan",2020,4,24,"cdround","https://www.inaturalist.org/observations/43064639","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611022490","43064639",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko gecko",114.168943,22.266849,"Wan Chai",2020,4,26,"cdround","https://www.inaturalist.org/observations/43600174","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611055134","43600174",NA,NA,NA,NA,NA,NA,NA
