"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.148133,22.252503,"Southern",2022,4,14,"cdround","https://www.inaturalist.org/observations/111506114","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759718005","111506114"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",113.849392,22.385536,"Islands",2022,5,4,"cdround,cudc","https://www.inaturalist.org/observations/115598339","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3772484894","115598339"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",113.835692,22.298746,"Islands",2022,5,23,"cdround","https://www.inaturalist.org/observations/119405205","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3860379690","119405205"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",113.87111,22.340062,"Islands",2022,6,4,"cdround,cudc","https://www.inaturalist.org/observations/120320609","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3860269458","120320609"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.065351,22.205371,"Sha Tin",2022,7,5,"cdround","https://www.inaturalist.org/observations/125042074","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859649367","125042074"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.226385,22.361883,"Sha Tin",2022,7,14,"cdround","https://www.inaturalist.org/observations/126319508","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3873893714","126319508"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",113.906292,22.210853,"Islands",2022,8,2,"cdround","https://www.inaturalist.org/observations/129120043","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3881675880","129120043"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.355063,22.570847,"Tai Po",2021,2,23,"cdround,cudc","https://www.inaturalist.org/observations/70037767","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3044723990","70037767"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.044688,22.448469,"North",2021,4,8,"cdround","https://www.inaturalist.org/observations/102600628","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3457119152","102600628"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",113.911131,22.26981,"Islands",2021,5,22,"","https://www.inaturalist.org/observations/79784596","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124764626","79784596"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.227772,22.400013,"Sha Tin",2021,7,30,"cdround","https://www.inaturalist.org/observations/104090038","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3457208795","104090038"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",106.977407,20.835247,"H<U+1EA3>i Phong",2021,10,4,"cdround","https://www.inaturalist.org/observations/97327333","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3385178382","97327333"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",107.044465,20.751918,"H<U+1EA3>i Phong",2021,10,31,"cdround","https://www.inaturalist.org/observations/101702694","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415630049","101702694"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",113.944294,22.23761,"Islands",2021,11,15,"cdround","https://www.inaturalist.org/observations/101998870","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3455351841","101998870"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.093233,22.328428,"Kwai Tsing",2021,11,27,"cdround","https://www.inaturalist.org/observations/102151129","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3457069719","102151129"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.175931,22.367872,"Sha Tin",2021,12,5,"cdround","https://www.inaturalist.org/observations/102590801","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456337884","102590801"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.16886,22.266791,"Wan Chai",2020,4,26,"cdround","https://www.inaturalist.org/observations/43599939","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2619954583","43599939"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",113.902943,22.287333,"Islands",2020,5,2,"","https://www.inaturalist.org/observations/44687579","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2620076634","44687579"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.181893,22.360699,"Sha Tin",2020,5,29,"cdround","https://www.inaturalist.org/observations/47759303","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634402312","47759303"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",107.030278,20.761389,"H<U+1EA3>i Phong",2020,6,3,"cdround","https://www.inaturalist.org/observations/48344804","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634110167","48344804"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",113.927667,22.384969,"Islands",2020,6,4,"cdround","https://www.inaturalist.org/observations/90979252","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3338087902","90979252"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.080057,22.388494,"Wan Chai",2020,8,19,"cdround","https://www.inaturalist.org/observations/56945213","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2850637413","56945213"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",107.03587,20.765805,"H<U+1EA3>i Phong",2020,8,9,"","https://www.inaturalist.org/observations/56204552","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2851080417","56204552"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",107.594833,22.659016,"Guangxi",2020,8,20,"cdround","https://www.inaturalist.org/observations/64776705","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2988580874","64776705"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko reevesii",114.178804,22.445737,"Tai Po",2020,9,25,"cdround","https://www.inaturalist.org/observations/60697683","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873931549","60697683"
