"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.261034,26.98494,"Okinawa",2022,6,3,"cdround","https://www.inaturalist.org/observations/119989784","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859859218","119989784",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.043259,26.703372,"Okinawa",2021,5,28,"cdround","https://www.inaturalist.org/observations/80696420","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3321189465","80696420",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.31864,26.84082,"Okinawa",2020,9,17,"cdround","https://www.inaturalist.org/observations/59870691","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2864682041","59870691",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.157344,26.638173,"Okinawa",2020,9,25,"cdround","https://www.inaturalist.org/observations/60695515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873849705","60695515",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.226177,26.943089,"Okinawa",2019,7,22,"cdround","https://www.inaturalist.org/observations/29286629","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2294619037","29286629",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.209669,26.77863,"Okinawa",2018,9,7,"cdround","https://www.inaturalist.org/observations/16282887","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1914315288","16282887",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.29584,26.786541,"Okinawa",2018,9,1,"cdround","https://www.inaturalist.org/observations/17526575","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2234732036","17526575",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.273943,26.67161,"Okinawa",2010,10,13,"cdround","https://www.inaturalist.org/observations/121554185","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858533465","121554185",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Geoemyda japonica",128.182516,26.789536,"Okinawa",2007,6,3,"cdround","https://www.inaturalist.org/observations/111400913","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760149950","111400913",NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Geoemyda japonica",128,26.5,NA,1904,4,27,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-134722","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476761197","R-134722","ASIA","skeleton (dry)","Loochoo",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Geoemyda japonica",127.976,26.588,"Okinawa Prefecture",1904,4,24,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-143609","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476780303","R-143609","ASIA","whole animal (ethanol)","Okinawa: Naga: Loochoo Is",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Geoemyda japonica",128.183,26.7,"Okinawa Prefecture",1871,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-7998","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476664737","R-7998","ASIA","skull and jaw (dry)","Okinawa shima: Riu Kiu Is",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Geoemyda japonica",127.999996,26.499999,"Okinawa Pref.",NA,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543496483","14980","ASIA","Alcohol",NA,"PhysicalObject"
