"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",106.022467,38.738204,"Ningxia Hui",2022,6,15,"cdround","https://www.inaturalist.org/observations/122030199","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3858546955","122030199",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",105.420672,52.069381,"Irkutsk",2022,6,22,"cdround","https://www.inaturalist.org/observations/123674608","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858817372","123674608",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",107.127361,53.135047,"Irkutsk",2022,6,13,"cdround","https://www.inaturalist.org/observations/123331070","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858831976","123331070",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",105.410816,52.058306,"Irkutsk",2022,6,20,"cdround","https://www.inaturalist.org/observations/123513649","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858870256","123513649",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",119.049376,47.496669,"Dornod",2022,6,17,"cdround","https://www.inaturalist.org/observations/122153241","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881402441","122153241",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",101.842819,43.797559,"Omnogovi",2022,7,13,"cdround","https://www.inaturalist.org/observations/126201211","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873097306","126201211",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",103.827624,51.731489,"Irkutsk",2022,7,7,"","https://www.inaturalist.org/observations/125134980","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3873210020","125134980",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",106.76161,52.953993,"Irkutsk",2022,7,16,"cdround","https://www.inaturalist.org/observations/127041803","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873606133","127041803",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",119.056741,47.507169,"Dornod",2021,7,25,"cdround","https://www.inaturalist.org/observations/88901926","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333506347","88901926",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",106.811719,53.073875,"Irkutsk",2021,8,11,"cdround","https://www.inaturalist.org/observations/91419182","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337719413","91419182",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",109.132499,43.316219,"Dornogovi",2021,8,23,"cdround","https://www.inaturalist.org/observations/93579113","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355439904","93579113",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",117.463749,40.642346,"Beijing",2020,7,7,"cdround","https://www.inaturalist.org/observations/52448136","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2992862442","52448136",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",104.140292,51.518733,"Irkutsk",2020,9,7,"cdround","https://www.inaturalist.org/observations/58939763","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2984411468","58939763",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",104.027585,43.520807,"Omnogovi",2019,6,12,"cdround","https://www.inaturalist.org/observations/127190558","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873087633","127190558",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",117.487364,40.599707,"Hebei",2019,6,7,"","https://www.inaturalist.org/observations/128282853","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881757843","128282853",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",107.364215,51.56188,"Buryat",2019,8,12,"cdround","https://www.inaturalist.org/observations/124992685","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859208434","124992685",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",105.71814,44.576801,"Dundgovi",2019,9,6,"cdround","https://www.inaturalist.org/observations/33504553","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2542907905","33504553",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",119.297698,50.278243,"Zabaykal'ye",2018,6,17,"","https://www.inaturalist.org/observations/18620882","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2517944297","18620882",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",108.983871,53.38089,"Buryat",2018,7,5,"cdround","https://www.inaturalist.org/observations/14098750","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1883913270","14098750",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",103.825833,51.7325,"Irkutsk",2018,7,24,"cdround","https://www.inaturalist.org/observations/16678104","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1913702240","16678104",NA,NA,NA,NA
