"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.715237,33.518652,"Jeju",2022,4,30,"cdround","https://www.inaturalist.org/observations/113708700","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773294038","113708700",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",131.659378,43.919133,"Primor'ye",2022,5,17,"cdround","https://www.inaturalist.org/observations/117977489","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802344498","117977489",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.866183,36.534712,"Gyeongsangbuk-do",2022,5,22,"cdround","https://www.inaturalist.org/observations/118168367","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802502923","118168367",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.727938,37.75076,"Gyeonggi-do",2022,5,26,"cdround","https://www.inaturalist.org/observations/118762331","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802626673","118762331",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.285669,36.796869,"Chungcheongnam-do",2022,6,1,"cdround","https://www.inaturalist.org/observations/119865156","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858380044","119865156",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",125.419111,34.677059,"Jeollanam-do",2022,6,19,"cdround","https://www.inaturalist.org/observations/122445312","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858664271","122445312",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.565854,33.459907,"Jeju",2022,6,30,"cdround","https://www.inaturalist.org/observations/124250954","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858854810","124250954",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.154969,35.729908,"Jeollabuk-do",2022,6,8,"cdround","https://www.inaturalist.org/observations/120770918","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859430918","120770918",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.180507,35.746646,"Jeollabuk-do",2022,6,8,"cdround","https://www.inaturalist.org/observations/120777947","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859459940","120777947",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",119.029196,47.495352,"Dornod",2022,6,13,"cdround","https://www.inaturalist.org/observations/122155034","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859630035","122155034",NA,NA,NA,NA,NA
