"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",119.602534,30.240528,"Zhejiang",2022,6,3,"cdround","https://www.inaturalist.org/observations/121345306","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860318310","121345306",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",119.428238,30.36042,"Zhejiang",2022,7,8,"cdround","https://www.inaturalist.org/observations/126173877","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873168817","126173877",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",116.199749,25.749163,"Fujian",2021,7,15,"","https://www.inaturalist.org/observations/87690754","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355035627","87690754",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",110.396639,31.476317,"Hubei",2021,7,22,"cdround","https://www.inaturalist.org/observations/113191490","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764543220","113191490",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.073553,23.150131,"Taiwan",2020,4,4,"cdround","https://www.inaturalist.org/observations/48230787","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634325901","48230787",NA,NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Gonyosoma frenatum",117.470001,26.360001,NA,2020,8,14,"gass84","https://www.ebi.ac.uk/ena/browser/view/MW413812","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3349470081","LSU20200812JZF01",808,0," Ziyun, Mingxi, Fujian",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",119.413696,30.416008,"Zhejiang",2020,9,30,"","https://www.inaturalist.org/observations/62192542","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2992811527","62192542",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",112.994739,24.691031,"Guangdong",2019,5,1,"cdround","https://www.inaturalist.org/observations/112501244","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764235605","112501244",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.352441,23.588473,"Taiwan",2019,11,5,"cdround","https://www.inaturalist.org/observations/37180411","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2543088066","37180411",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",110.913123,30.943225,"Hubei",2018,8,23,"cdround","https://www.inaturalist.org/observations/109860333","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759897290","109860333",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.23547,23.32899,NA,2017,4,29,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864145961",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.09853,23.14264,NA,2017,5,15,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864146787",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.09715,23.14103,NA,2017,5,12,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864146824",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.09713,23.14099,NA,2017,5,12,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864146836",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.10238,23.1403,NA,2017,5,12,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147048",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.13132,23.13509,NA,2017,5,17,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147054",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.10291,23.13984,NA,2017,5,24,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147177",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.10176,23.14099,NA,2017,5,24,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147350",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.09792,23.14129,NA,2017,5,24,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147365",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.10782,23.13806,NA,2017,5,24,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147604",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.132115,23.13424,NA,2016,4,22,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864136267",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.1062,23.138567,NA,2016,4,27,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864136463",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.0867,23.14,NA,2016,4,27,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864136532",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.100283,23.14145,NA,2016,5,4,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864136593",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.13422,23.13277,NA,2016,6,22,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138326",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.163067,23.124727,NA,2016,7,5,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138622",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.082016,23.14105,NA,2015,4,6,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864126778",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.094809,23.141282,NA,2015,5,4,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864127572",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.100493,23.141478,NA,2015,5,4,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864127591",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.137889,23.131917,NA,2015,5,28,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864128270",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.17456,23.1129,NA,2015,5,30,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864128440",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.089066,23.139272,NA,2015,6,19,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864129123",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.139297,23.132363,NA,2015,6,20,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864129197",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.08865,23.13935,NA,2015,6,22,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864129329",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.147139,23.132194,NA,2015,8,18,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864130931",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.011032,22.824588,NA,2015,9,5,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864131762",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.189444,23.04121,NA,2015,9,27,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864132590",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.134361,23.132694,NA,2015,11,16,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864134002",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.078563,23.145219,NA,2014,3,19,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864118197",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.144241,23.13371,NA,2014,4,27,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864119142",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.140823,23.133426,NA,2014,5,3,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864119133",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.140823,23.133419,NA,2014,5,3,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864119191",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Gonyosoma frenatum",121.119928,23.133715,NA,2014,5,13,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864119290",NA,NA,NA,NA,NA,NA
