"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.139059,22.53847,"Tai Po",2022,7,6,"cdround","https://www.inaturalist.org/observations/124963902","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859943357","124963902",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.122449,22.452966,"Tai Po",2022,7,6,"cdround","https://www.inaturalist.org/observations/125171692","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873001102","125171692",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.090417,24.775016,"Guangdong",2021,9,8,"cdround","https://www.inaturalist.org/observations/101870194","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859705861","101870194",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.122635,22.410014,"Tsuen Wan",2020,3,13,"cdround","https://www.inaturalist.org/observations/39936200","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2580208351","39936200",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.358395,22.136161,NA,2020,8,4,"cdround,cudc","https://www.inaturalist.org/observations/55375269","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2850953220","55375269",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.020842,22.350918,"Tsuen Wan",2020,10,25,"cdround","https://www.inaturalist.org/observations/63467083","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2963863796","63467083",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.104035,22.375664,"Tsuen Wan",2020,11,12,"cdround","https://www.inaturalist.org/observations/64920267","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2988369148","64920267",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.085735,22.540485,"Tsuen Wan",2019,10,2,"cdround","https://www.inaturalist.org/observations/55249265","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2851006981","55249265",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.119215,22.407404,"Tsuen Wan",2016,3,6,"cdround","https://www.inaturalist.org/observations/4794128","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453296637","4794128",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.174695,22.278315,"Wan Chai",2016,5,8,"cdround","https://www.inaturalist.org/observations/4030185","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1457582498","4030185",NA,NA,NA,NA,NA,NA
