"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.545135,24.76979,"Taipei",2022,7,31,"cdround","https://www.inaturalist.org/observations/128789714","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881400961","128789714"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.44505,25.129335,"Taipei",2021,5,13,"cdround","https://www.inaturalist.org/observations/78670751","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118325624","78670751"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.339925,24.513842,"Taiwan",2020,5,1,"cdround","https://www.inaturalist.org/observations/44695845","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2619944215","44695845"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.567565,24.490847,"Taiwan",2020,5,15,"cdround","https://www.inaturalist.org/observations/86119118","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325617427","86119118"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.532559,25.173072,"Taipei",2019,1,29,"cdround","https://www.inaturalist.org/observations/19945347","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990615132","19945347"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.12227,24.53772,NA,2017,5,6,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864146455",NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.409622,24.650391,NA,2017,7,4,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864149585",NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.42383,24.64963,NA,2017,8,13,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864152549",NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.41339,24.648124,NA,2016,5,8,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864136810",NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.313632,24.573665,NA,2016,7,17,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864139247",NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hebius miyajimae",121.47521,24.64844,NA,2016,8,20,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864140506",NA
