"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",127.776029,26.244323,"Okinawa",2021,4,19,"cdround","https://www.inaturalist.org/observations/74508277","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097030162","74508277",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",128.259481,26.692594,"Okinawa",2021,6,12,"cdround","https://www.inaturalist.org/observations/98203765","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3391483259","98203765",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",127.960047,26.349471,"Okinawa",2021,7,2,"cdround","https://www.inaturalist.org/observations/85321756","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325583611","85321756",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",128.253403,26.860845,"Okinawa",2020,3,28,"cdround","https://www.inaturalist.org/observations/40882227","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2992816420","40882227",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",128.198678,26.668976,"Okinawa",2020,9,11,"cdround","https://www.inaturalist.org/observations/88073239","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337638689","88073239",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",128.254486,26.857143,"Okinawa",2020,11,27,"cdround","https://www.inaturalist.org/observations/65810843","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2992835800","65810843",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",126.790371,26.357698,"Okinawa",2020,11,27,"cdround","https://www.inaturalist.org/observations/106177503","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3468896627","106177503",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",127.960741,27.026511,"Okinawa",2019,8,15,"cdround","https://www.inaturalist.org/observations/72540315","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070744392","72540315",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius pryeri",128.092346,26.588527,"Okinawa",2013,6,8,"","https://www.inaturalist.org/observations/469957","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1572331768","469957",NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Hebius pryeri",128.01,26.586,"Okinawa Prefecture",1945,11,13,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55950","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476498595","R-55950","ASIA","whole animal (ethanol)","foothills of Nago Mts,E.of Nago Machi,Okinawa",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Hebius pryeri",128,26.5,"Kagoshima Prefecture",1890,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-25876","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476680012","R-25876","ASIA","whole animal (ethanol)","Loo-choo Ids",NA,NA
