"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.1751,22.374395,"Sha Tin",2022,4,29,"","https://www.inaturalist.org/observations/115680137","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773577035","115680137",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.062085,22.420371,"Yuen Long",2022,6,24,"cdround","https://www.inaturalist.org/observations/123305689","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873492817","123305689",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.126131,22.271897,"Southern",2022,7,10,"cdround","https://www.inaturalist.org/observations/125577377","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872872088","125577377",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.117645,22.275304,"Central and Western",2022,7,9,"cdround","https://www.inaturalist.org/observations/125480715","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874004565","125480715",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.124191,22.277031,"Central and Western",2021,3,4,"cdround","https://www.inaturalist.org/observations/70563864","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3059064587","70563864",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",113.551111,22.115278,"Ilhas",2021,4,29,"cdround","https://www.inaturalist.org/observations/75751463","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112607478","75751463",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",113.551111,22.198611,"Macau",2021,4,18,"cdround","https://www.inaturalist.org/observations/74480855","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747220389","74480855",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",113.936903,22.289819,"Islands",2021,7,22,"cdround","https://www.inaturalist.org/observations/88139072","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330876599","88139072",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.209044,22.388176,"Sha Tin",2021,9,24,"cdround","https://www.inaturalist.org/observations/104804069","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3457219757","104804069",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.040731,22.447779,"Yuen Long",2020,3,23,"cdround","https://www.inaturalist.org/observations/40580944","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596050633","40580944",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.040913,22.447752,"Yuen Long",2020,4,30,"cdround","https://www.inaturalist.org/observations/44364923","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611383505","44364923",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.040092,22.448858,"Yuen Long",2020,4,30,"cdround","https://www.inaturalist.org/observations/44360467","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611406906","44360467",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.041289,22.447879,"Yuen Long",2020,4,30,"cdround","https://www.inaturalist.org/observations/44359519","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611416499","44359519",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.042227,22.448567,"Yuen Long",2020,5,21,"cdround","https://www.inaturalist.org/observations/46716828","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626316440","46716828",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.040358,22.448729,"Yuen Long",2020,6,21,"cdround","https://www.inaturalist.org/observations/50391321","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802645538","50391321",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.04068,22.44789,"Yuen Long",2020,6,20,"cdround","https://www.inaturalist.org/observations/50251882","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802765820","50251882",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",113.931006,22.2801,"Islands",2020,6,22,"cdround","https://www.inaturalist.org/observations/51194895","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814017856","51194895",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.040671,22.447333,"Yuen Long",2020,8,6,"cdround","https://www.inaturalist.org/observations/55591654","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2851028491","55591654",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",113.977463,22.384755,"Tuen Mun",2019,7,27,"cdround","https://www.inaturalist.org/observations/29624998","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2311329361","29624998",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",113.942509,22.287374,"Islands",2019,7,12,"cdround","https://www.inaturalist.org/observations/46689781","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626522838","46689781",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",113.976661,22.407531,"Tuen Mun",2018,8,29,"cdround","https://www.inaturalist.org/observations/67517103","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3018080880","67517103",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus brookii",114.142888,22.254642,"Southern",2017,9,11,"cdround","https://www.inaturalist.org/observations/12129320","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1847436093","12129320",NA,NA,NA,NA
"7df6557f-1996-4874-a08a-1ac5718ef413","PRESERVED_SPECIMEN","PRESENT","Hemidactylus brookii",113.56423,22.126318,"Macau",1988,11,23,"rdativ,osiic,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1946202445","IICT/R 8-1988","ASIA","ETOH 70%","Coloane","PhysicalObject"
"7df6557f-1996-4874-a08a-1ac5718ef413","PRESERVED_SPECIMEN","PRESENT","Hemidactylus brookii",113.548063,22.20797,"Macau",1988,11,21,"rdativ,osiic,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1946202480","IICT/R 4-1988","ASIA","ETOH 70%","Pousada Mong-Ha","PhysicalObject"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Hemidactylus brookii",114.14303,22.28635,"Hong Kong",1987,4,7,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172809","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476712031","R-172809","ASIA","whole animal (ethanol)","West Point",NA
