"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.983881,24.806074,"Kaohsiung",2022,1,20,"cdround","https://www.inaturalist.org/observations/105422636","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466074851","105422636",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",114.469716,22.553893,"Guangdong",2022,1,28,"cdround","https://www.inaturalist.org/observations/113201654","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764466342","113201654",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.871279,24.283455,"Taichung",2022,2,11,"cdround","https://www.inaturalist.org/observations/106661174","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3499416012","106661174",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.896988,24.672017,"Taiwan",2022,2,17,"cdround","https://www.inaturalist.org/observations/106910433","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499657324","106910433",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",121.509459,25.032084,"Taipei",2022,2,25,"cdround","https://www.inaturalist.org/observations/116252615","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858264044","116252615",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",121.691987,24.717803,"Taiwan",2022,3,24,"cdround","https://www.inaturalist.org/observations/109353233","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747236140","109353233",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.062936,23.081286,"Tainan",2022,3,30,"cdround","https://www.inaturalist.org/observations/109919818","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760035380","109919818",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.388032,23.817754,"Taiwan",2022,4,3,"cdround","https://www.inaturalist.org/observations/110275124","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764080429","110275124",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.305755,22.777125,"Kaohsiung",2022,4,26,"","https://www.inaturalist.org/observations/112954938","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764121087","112954938",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.30368,22.786067,"Kaohsiung",2022,4,26,"cdround","https://www.inaturalist.org/observations/112954950","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764349062","112954950",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.601212,23.593442,"Taiwan",2022,4,26,"cdround","https://www.inaturalist.org/observations/112958548","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764452060","112958548",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",121.514471,25.042339,"Taipei",2022,4,22,"cdround","https://www.inaturalist.org/observations/112977104","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764516029","112977104",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.300622,22.785903,"Kaohsiung",2022,4,26,"cdround","https://www.inaturalist.org/observations/112954981","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764535055","112954981",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",121.596523,24.643504,"Taiwan",2022,4,29,"cdround","https://www.inaturalist.org/observations/115291103","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773701263","115291103",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.586678,23.68715,"Taiwan",2022,4,29,"cdround","https://www.inaturalist.org/observations/114566716","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773747335","114566716",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.260903,23.620292,"Taiwan",2022,5,2,"cdround","https://www.inaturalist.org/observations/114714688","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772852458","114714688",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.261227,23.620429,"Taiwan",2022,5,2,"cdround","https://www.inaturalist.org/observations/114497985","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772866673","114497985",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",121.556293,25.022541,"Taipei",2022,5,3,"cdround","https://www.inaturalist.org/observations/114956706","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772938718","114956706",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",120.261781,23.620614,"Taiwan",2022,5,2,"cdround","https://www.inaturalist.org/observations/114710880","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773620857","114710880",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus frenatus",121.557434,25.03348,"Taipei",2022,5,14,"cdround","https://www.inaturalist.org/observations/116845319","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784709594","116845319",NA,NA,NA,NA,NA,NA,NA
