"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","type","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",114.03906,22.302901,"Islands",2022,4,8,"cdround","https://www.inaturalist.org/observations/110765774","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759296338","110765774",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",113.966387,22.366322,"Islands",2022,4,8,"cdround","https://www.inaturalist.org/observations/110969083","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3760297506","110969083",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",120.981277,23.837131,"Taiwan",2022,5,18,"cdround","https://www.inaturalist.org/observations/117591399","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784658002","117591399",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",113.820487,22.293638,"Islands",2022,6,18,"cdround","https://www.inaturalist.org/observations/122413529","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859727194","122413529",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",120.978076,24.767412,"Taiwan",2022,7,13,"cdround","https://www.inaturalist.org/observations/127063781","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873077499","127063781",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",121.638663,25.380986,"New Taipei",2022,7,6,"cdround","https://www.inaturalist.org/observations/125545387","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873568320","125545387",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",113.937475,22.233719,"Islands",2021,3,20,"cdround","https://www.inaturalist.org/observations/71716236","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067746094","71716236",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",113.922979,22.226992,"Islands",2021,3,9,"cdround","https://www.inaturalist.org/observations/71606006","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3068040469","71606006",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",113.469963,22.308913,"Guangdong",2021,5,8,"cdround","https://www.inaturalist.org/observations/77805796","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113340762","77805796",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hypsiscopus plumbea",113.843942,22.369857,"Islands",2021,7,8,"cdround,cudc","https://www.inaturalist.org/observations/86184510","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325726502","86184510",NA,NA,NA,NA,NA,NA,NA
