"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","county","preparations","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",121.252365,24.73291,"Taiwan",2022,2,16,"cdround","https://www.inaturalist.org/observations/108106415","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712562698","108106415",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",121.293213,22.955774,"Taiwan",2022,3,29,"cdround","https://www.inaturalist.org/observations/109986691","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759913502","109986691",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",120.97957,24.793326,"Kaohsiung",2022,3,16,"cdround","https://www.inaturalist.org/observations/112509315","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764386627","112509315",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",113.941147,22.385818,"Islands",2022,4,4,"cdround","https://www.inaturalist.org/observations/110392232","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759248853","110392232",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",114.120751,22.210613,"Tsuen Wan",2022,4,19,"cdround","https://www.inaturalist.org/observations/112038579","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759389485","112038579",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",121.351462,24.73332,"Taipei",2022,4,4,"cdround","https://www.inaturalist.org/observations/110639531","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760000182","110639531",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",113.564836,22.115311,"Ilhas",2022,4,10,"cdround","https://www.inaturalist.org/observations/110944013","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760100506","110944013",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",114.193614,22.350773,"Sha Tin",2022,4,2,"cdround","https://www.inaturalist.org/observations/111066625","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3760304620","111066625",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",120.261513,23.620647,"Taiwan",2022,4,22,"cdround","https://www.inaturalist.org/observations/112398547","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764199486","112398547",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Indotyphlops braminus",114.041538,22.324126,"Tsuen Wan",2022,4,26,"cdround","https://www.inaturalist.org/observations/113202222","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764241256","113202222",NA,NA,NA,NA,NA,NA,NA
