"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","type","elevation","county","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.092923,22.859708,"Taiwan",2022,1,16,"cdround","https://www.inaturalist.org/observations/105016582","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456585227","105016582",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.050561,23.165153,"Taiwan",2022,1,27,"cdround","https://www.inaturalist.org/observations/105661860","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466518833","105661860",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.429253,31.013481,"Shanghai",2022,2,28,"cdround","https://www.inaturalist.org/observations/111383984","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760131847","111383984",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.43116,25.122121,"Taipei",2022,2,28,"cdround","https://www.inaturalist.org/observations/118256276","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802494109","118256276",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.674758,25.013582,"New Taipei",2022,3,13,"cdround","https://www.inaturalist.org/observations/108695086","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743034887","108695086",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",120.720109,23.998849,"Taiwan",2022,3,31,"cdround","https://www.inaturalist.org/observations/110001251","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759707465","110001251",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.580747,25.154656,"Taipei",2022,3,1,"cdround","https://www.inaturalist.org/observations/118256297","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802643010","118256297",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",113.088806,28.812992,"Hunan",2022,4,12,"cdround","https://www.inaturalist.org/observations/111128070","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759387682","111128070",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",113.084969,28.817495,"Hunan",2022,4,6,"cdround","https://www.inaturalist.org/observations/110568178","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759924130","110568178",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",118.814984,32.083297,"Jiangsu",2022,4,21,"cdround","https://www.inaturalist.org/observations/112289212","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760043721","112289212",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",114.366885,30.542657,"Hubei",2022,4,25,"","https://www.inaturalist.org/observations/112853211","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764085957","112853211",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",120.650952,23.47384,"Taiwan",2022,4,24,"cdround","https://www.inaturalist.org/observations/112664538","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764141787","112664538",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",120.841178,22.317297,"Taiwan",2022,4,26,"cdround","https://www.inaturalist.org/observations/115064698","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772842771","115064698",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.037445,24.8219,"Taiwan",2022,4,29,"cdround","https://www.inaturalist.org/observations/113437820","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773094835","113437820",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",124.169992,24.376975,"Okinawa",2022,4,29,"cdround","https://www.inaturalist.org/observations/118023936","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802657744","118023936",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.279728,23.19551,"Taiwan",2022,4,19,"cdround","https://www.inaturalist.org/observations/119552850","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859989832","119552850",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",118.832236,32.056759,"Jiangsu",2022,5,6,"cdround","https://www.inaturalist.org/observations/116089895","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772844116","116089895",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",114.36677,30.536297,"Hubei",2022,5,2,"cdround","https://www.inaturalist.org/observations/115518622","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773215808","115518622",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",114.373462,30.524912,"Hubei",2022,5,3,"cdround","https://www.inaturalist.org/observations/114781854","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773474550","114781854",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",118.831117,32.058604,"Jiangsu",2022,5,12,"","https://www.inaturalist.org/observations/116719940","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773796978","116719940",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",119.474471,30.202422,"Zhejiang",2022,5,13,"cdround","https://www.inaturalist.org/observations/116839710","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784807592","116839710",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",121.499135,23.866,"Taiwan",2022,5,12,"cdround","https://www.inaturalist.org/observations/116844624","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784807606","116844624",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",118.830742,32.052933,"Jiangsu",2022,5,12,"cdround","https://www.inaturalist.org/observations/118174854","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802418972","118174854",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",120.632931,23.613076,"Taiwan",2022,5,28,"cdround","https://www.inaturalist.org/observations/119050371","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858332388","119050371",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon rufozonatus",119.309247,32.003581,"Jiangsu",2022,5,29,"cdround","https://www.inaturalist.org/observations/119265392","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858365548","119265392",NA,NA,NA,NA,NA,NA,NA
