"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","continent","preparations","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",120.914175,23.832469,"Taiwan",2022,1,9,"cdround","https://www.inaturalist.org/observations/104639519","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456323207","104639519",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",120.597063,22.930644,"Kaohsiung",2022,1,12,"cdround","https://www.inaturalist.org/observations/104854746","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456952773","104854746",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",120.625623,23.696551,"Taiwan",2022,3,9,"cdround","https://www.inaturalist.org/observations/108231835","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712436112","108231835",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",121.597066,24.643605,"Taiwan",2022,4,30,"cdround","https://www.inaturalist.org/observations/114170857","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772441846","114170857",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",120.598811,23.588579,"Taiwan",2022,5,1,"cdround","https://www.inaturalist.org/observations/114225464","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772443232","114225464",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",120.593046,23.593058,"Taiwan",2022,5,1,"cdround","https://www.inaturalist.org/observations/114582080","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773303754","114582080",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",120.596873,23.589883,"Taiwan",2022,5,1,"cdround","https://www.inaturalist.org/observations/114225452","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773784525","114225452",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",120.763107,24.174816,"Taichung",2022,5,17,"cdround","https://www.inaturalist.org/observations/117417459","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3785085299","117417459",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",121.407482,24.654108,"Taipei",2022,6,17,"cdround","https://www.inaturalist.org/observations/122172083","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858518113","122172083",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon ruhstrati",120.782692,24.173247,"Taichung",2022,6,15,"cdround","https://www.inaturalist.org/observations/121995236","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858680928","121995236",NA,NA,NA,NA,NA,NA,NA
