"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","continent","preparations","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",139.389843,35.694981,"Saitama",2022,4,10,"cdround","https://www.inaturalist.org/observations/110971946","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759289468","110971946",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",135.787734,35.077219,"Kyoto",2022,4,24,"cdround","https://www.inaturalist.org/observations/112643485","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764491753","112643485",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",136.594341,35.013546,"Mie",2022,5,7,"cdround","https://www.inaturalist.org/observations/115856582","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772701377","115856582",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",136.597819,35.175962,"Mie",2021,4,11,"cdround","https://www.inaturalist.org/observations/74128139","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097013614","74128139",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",131.014443,30.663838,"Kagoshima",2021,10,12,"cdround","https://www.inaturalist.org/observations/125762479","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873622298","125762479",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",135.629807,35.077368,"Kyoto",2019,8,21,"cdround","https://www.inaturalist.org/observations/51964015","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814186433","51964015",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",135.778777,34.89646,"Kyoto",2019,9,26,"cdround","https://www.inaturalist.org/observations/34408416","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2429599689","34408416",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",135.790956,34.950359,"Kyoto",2019,10,1,"cdround","https://www.inaturalist.org/observations/36382976","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2518124373","36382976",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",135.75295,35.101853,"Kyoto",2018,3,27,"cdround","https://www.inaturalist.org/observations/11463351","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1841195979","11463351",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys japonica",137.20368,35.059432,"Aichi",2018,7,13,"cdround","https://www.inaturalist.org/observations/15668574","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2294401693","15668574",NA,NA,NA,NA,NA
