"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",121.739088,24.79458,"Taiwan",2022,1,1,"cdround","https://www.inaturalist.org/observations/104085842","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455697549","104085842",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",121.738371,24.796542,"Taiwan",2022,1,1,"cdround","https://www.inaturalist.org/observations/104084985","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456469999","104084985",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",121.521912,25.076781,"Taipei",2022,1,19,"cdround","https://www.inaturalist.org/observations/105201345","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456784387","105201345",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",120.421227,23.724306,"Taiwan",2022,1,19,"cdround","https://www.inaturalist.org/observations/105204045","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456784401","105204045",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",114.124721,22.240452,"Yau Tsim Mong",2022,1,15,"cdround","https://www.inaturalist.org/observations/105040075","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456832817","105040075",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",121.5449,23.896625,"Taiwan",2022,1,4,"cdround","https://www.inaturalist.org/observations/104338796","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456991439","104338796",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",120.222883,22.970193,"Tainan",2022,1,23,"cdround","https://www.inaturalist.org/observations/105479517","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3465903989","105479517",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",121.228811,24.952307,"Taipei",2022,1,15,"cdround","https://www.inaturalist.org/observations/105538487","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466154272","105538487",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",121.540214,25.015964,"Taipei",2022,1,26,"cdround","https://www.inaturalist.org/observations/105597269","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466157341","105597269",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Mauremys sinensis",121.55999,25.11263,"Taipei",2022,1,23,"cdround","https://www.inaturalist.org/observations/106736815","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499347037","106736815",NA,NA,NA,NA,NA,NA,NA
