"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","type","locality","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.11336,22.411687,"Tai Po",2022,4,10,"cdround","https://www.inaturalist.org/observations/111069888","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759735597","111069888",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.107278,22.49327,"North",2022,5,2,"cdround","https://www.inaturalist.org/observations/114739888","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772848729","114739888",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.052441,22.424257,"North",2022,6,6,"cdround","https://www.inaturalist.org/observations/120516739","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858575600","120516739",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",121.696273,25.154661,"Taipei",2022,7,16,"cdround","https://www.inaturalist.org/observations/126449763","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873169024","126449763",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.168446,22.496233,"North",2021,3,12,"cdround","https://www.inaturalist.org/observations/71289301","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3061662300","71289301",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.107157,22.49334,"North",2021,5,2,"cdround","https://www.inaturalist.org/observations/76554598","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112394470","76554598",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.107142,22.493348,"North",2021,5,2,"cdround","https://www.inaturalist.org/observations/76556391","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112441430","76556391",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.107148,22.493369,"North",2021,5,2,"cdround","https://www.inaturalist.org/observations/76555419","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112846480","76555419",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.131027,22.436957,"North",2021,7,28,"cdround","https://www.inaturalist.org/observations/89748777","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3335327252","89748777",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.166586,22.563045,"Tai Po",2021,11,18,"cdround","https://www.inaturalist.org/observations/101740501","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3415557659","101740501",NA,NA,NA,NA,NA,NA,NA
