"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","type","locality","elevation","elevationAccuracy","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.242185,22.506969,"North",2022,4,16,"cdround","https://www.inaturalist.org/observations/111654585","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759913153","111654585",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.099999,22.323546,"Wan Chai",2021,4,14,"cdround","https://www.inaturalist.org/observations/74100776","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097256582","74100776",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.172274,22.503125,"North",2021,4,25,"cdround","https://www.inaturalist.org/observations/75152945","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109180824","75152945",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.206904,22.524513,"Tai Po",2021,5,2,"cdround","https://www.inaturalist.org/observations/76872506","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3112750801","76872506",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.269797,22.315522,"Sai Kung",2021,6,4,"cdround","https://www.inaturalist.org/observations/84149954","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3314535374","84149954",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.101552,22.376201,"Tsuen Wan",2021,9,19,"cdround","https://www.inaturalist.org/observations/95346265","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384389405","95346265",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.291444,22.400816,"Sai Kung",2020,4,30,"cdround","https://www.inaturalist.org/observations/45175285","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2620196114","45175285",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.28452,22.402803,"Sai Kung",2020,5,7,"cdround","https://www.inaturalist.org/observations/45174916","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2619926877","45174916",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.282115,22.401387,"Sai Kung",2020,5,7,"cdround","https://www.inaturalist.org/observations/45174477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2620125017","45174477",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.2293,22.33979,"Sai Kung",2020,5,10,"cdround","https://www.inaturalist.org/observations/78243510","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113363314","78243510",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",113.941751,22.266498,"Islands",2020,7,3,"cdround","https://www.inaturalist.org/observations/56306232","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2851209557","56306232",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",113.926028,22.2488,"Islands",2019,3,30,"","https://www.inaturalist.org/observations/27500991","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2273257692","27500991",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.107955,22.383626,"Tsuen Wan",2019,6,20,"cdround","https://www.inaturalist.org/observations/123191257","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859627992","123191257",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.106646,22.383663,"Tsuen Wan",2019,6,20,"cdround","https://www.inaturalist.org/observations/122581295","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860653422","122581295",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.179827,22.46754,"Tai Po",2019,8,9,"cdround","https://www.inaturalist.org/observations/30740320","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2350406946","30740320",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.179808,22.466658,"Tai Po",2018,4,28,"cdround","https://www.inaturalist.org/observations/11589478","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1841219626","11589478",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.179696,22.467434,"Tai Po",2016,6,2,"cdround","https://www.inaturalist.org/observations/12044238","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1841312912","12044238",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon cinereus",114.189795,22.467943,"Tai Po",2016,6,2,"cdround","https://www.inaturalist.org/observations/45971469","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626449854","45971469",NA,NA,NA,NA,NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Oligodon cinereus",113.879262,22.247831,NA,1999,7,4,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009499","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039476454","YPM HERR 009499","ASIA","10% form.->70% alc.","PhysicalObject","Keung Shan, ca. 100m",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Oligodon cinereus",113.89013,22.229733,"Hong Kong",1991,9,9,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476695159","R-176515","ASIA","whole animal (ethanol)",NA,"Lantau,Shek Pik Garden [VERBATIM ELEVATION:90m]",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Oligodon cinereus",114.183075,22.254311,"Hong Kong",1990,4,9,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175969","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476712170","R-175969","ASIA","whole animal (ethanol)",NA,"Nam Fung Road opposite South Island school",NA,NA,NA
