"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","type","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.538254,24.936336,"New Taipei",2022,4,22,"cdround","https://www.inaturalist.org/observations/112396250","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764453526","112396250",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.422171,24.972504,"New Taipei",2022,4,24,"cdround","https://www.inaturalist.org/observations/112627755","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764550705","112627755",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.986775,22.405718,"Tuen Mun",2022,4,28,"cdround","https://www.inaturalist.org/observations/113689357","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773011716","113689357",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.044286,22.555998,"Yuen Long",2022,4,29,"cdround","https://www.inaturalist.org/observations/113410375","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773194701","113410375",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.894775,22.502778,"Guangdong",2022,4,15,"cdround","https://www.inaturalist.org/observations/116832806","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3785001574","116832806",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.6391,24.75373,"Taiwan",2022,5,4,"","https://www.inaturalist.org/observations/115353497","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772862137","115353497",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.261183,22.425747,"Tai Po",2022,5,6,"cdround","https://www.inaturalist.org/observations/115914827","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3772899944","115914827",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.993653,22.2675,"Islands",2022,5,2,"cdround","https://www.inaturalist.org/observations/114585202","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772928741","114585202",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.535782,24.936058,"New Taipei",2022,5,10,"cdround","https://www.inaturalist.org/observations/116420236","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3773019021","116420236",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",120.558044,23.640367,"Taiwan",2022,5,10,"cdround","https://www.inaturalist.org/observations/116415494","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773623005","116415494",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.042197,22.33772,"Tsuen Wan",2022,5,5,"cdround","https://www.inaturalist.org/observations/115570548","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784986437","115570548",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",120.592125,22.932944,"Kaohsiung",2022,5,9,"cdround","https://www.inaturalist.org/observations/116797284","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784990502","116797284",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.475125,23.229391,"Guangdong",2022,5,19,"cdround","https://www.inaturalist.org/observations/117818176","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802492546","117818176",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.475166,23.221801,"Guangdong",2022,5,19,"cdround","https://www.inaturalist.org/observations/117818179","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802590505","117818179",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.403671,23.290009,"Guangdong",2022,5,25,"cdround","https://www.inaturalist.org/observations/118894177","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858217252","118894177",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.60347,25.076945,"Taipei",2022,5,29,"cdround","https://www.inaturalist.org/observations/119206867","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3858443476","119206867",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.166346,22.260686,"Wan Chai",2022,5,27,"cdround","https://www.inaturalist.org/observations/119017038","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859867306","119017038",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.115342,22.22285,"Islands",2022,6,12,"cdround","https://www.inaturalist.org/observations/121408425","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858466372","121408425",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",120.711991,23.265195,"Kaohsiung",2022,6,7,"cdround","https://www.inaturalist.org/observations/120759718","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858555869","120759718",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.529737,25.104163,"Taipei",2022,6,11,"cdround","https://www.inaturalist.org/observations/121178904","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858647179","121178904",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.052667,23.158986,"Taiwan",2022,6,20,"cdround","https://www.inaturalist.org/observations/122624947","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858683414","122624947",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.511938,22.080383,"Taiwan",2022,6,26,"cdround","https://www.inaturalist.org/observations/123824764","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858803416","123824764",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.616667,25.241092,"New Taipei",2022,6,18,"cdround","https://www.inaturalist.org/observations/122252410","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858951149","122252410",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",120.786597,24.183863,"Taichung",2022,6,1,"cdround","https://www.inaturalist.org/observations/119757310","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859414004","119757310",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.982992,22.370844,"Islands",2022,6,4,"cdround","https://www.inaturalist.org/observations/120320566","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859693493","120320566",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.335518,22.578644,"Tai Po",2022,6,24,"cdround,cudc","https://www.inaturalist.org/observations/123649111","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859709301","123649111",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.390974,22.568526,"Tai Po",2022,6,24,"cdround,cudc","https://www.inaturalist.org/observations/123649105","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859715364","123649105",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.616745,25.241089,"New Taipei",2022,6,18,"cdround","https://www.inaturalist.org/observations/122252516","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860121142","122252516",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.975803,22.39951,"Islands",2022,6,4,"cdround","https://www.inaturalist.org/observations/121557130","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3860387535","121557130",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.54,25.261258,"New Taipei",2022,6,12,"cdround","https://www.inaturalist.org/observations/125861837","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873169678","125861837",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.256816,22.388918,"Sai Kung",2022,7,3,"cdround","https://www.inaturalist.org/observations/124609335","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859626187","124609335",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.209912,22.277713,"Sai Kung",2022,7,3,"cdround","https://www.inaturalist.org/observations/124609387","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3860520149","124609387",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.325133,25.006331,"Taipei",2022,7,10,"cdround","https://www.inaturalist.org/observations/125568284","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872875275","125568284",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.532874,24.951495,"New Taipei",2022,7,7,"cdround","https://www.inaturalist.org/observations/125179983","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872893904","125179983",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.953867,22.347174,"Islands",2022,7,12,"cdround","https://www.inaturalist.org/observations/125932765","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873171935","125932765",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",113.967956,22.263313,"Islands",2022,7,8,"cdround","https://www.inaturalist.org/observations/125285471","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873290262","125285471",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.329317,22.461427,"Tai Po",2022,7,16,"cdround","https://www.inaturalist.org/observations/126655185","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873380810","126655185",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",120.618401,23.727413,"Taiwan",2022,7,26,"cdround","https://www.inaturalist.org/observations/127930842","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873498545","127930842",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.169245,22.496718,"North",2022,7,23,"cdround","https://www.inaturalist.org/observations/127551016","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873598129","127551016",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.123919,22.568926,"North",2022,7,15,"cdround","https://www.inaturalist.org/observations/127307920","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873781453","127307920",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",121.532204,24.9641,"New Taipei",2022,7,15,"cdround","https://www.inaturalist.org/observations/126453334","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873852700","126453334",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.225128,22.402628,"Sha Tin",2022,7,13,"cdround","https://www.inaturalist.org/observations/126171749","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873864340","126171749",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon formosanus",114.169178,22.496697,"North",2022,7,23,"cdround","https://www.inaturalist.org/observations/127642000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873907744","127642000",NA,NA,NA,NA,NA,NA,NA
