"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",120.742872,24.218962,"Taichung",2022,5,21,"cdround","https://www.inaturalist.org/observations/117950632","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802417710","117950632",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",120.786934,23.670295,"Taiwan",2022,6,19,"cdround","https://www.inaturalist.org/observations/122434676","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873681701","122434676",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",121.470222,24.653317,"Taiwan",2022,7,16,"cdround","https://www.inaturalist.org/observations/127679444","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873139790","127679444",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",121.40646,24.654118,"Taipei",2019,6,8,"cdround","https://www.inaturalist.org/observations/48661929","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2641540847","48661929",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",121.014855,24.192087,"Taichung",2019,7,26,"cdround","https://www.inaturalist.org/observations/34528947","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2445066527","34528947",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",121.450942,24.677155,"Taipei",2019,7,1,"cdround","https://www.inaturalist.org/observations/48229586","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634144048","48229586",NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",121.508351,25.203705,NA,2017,5,23,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147172",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",120.8526,23.96093,NA,2017,5,25,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147479",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",121.18572,23.94847,NA,2017,6,29,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864149442",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Oligodon ornatus",121.538866,25.171397,NA,2017,7,5,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864149573",NA,NA,NA,NA,NA
