"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.23283,22.401839,"Sha Tin",2022,3,25,"cdround","https://www.inaturalist.org/observations/109432458","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747129507","109432458",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.126354,22.292521,"Central and Western",2022,4,24,"cdround","https://www.inaturalist.org/observations/112654095","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764242747","112654095",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.10807,22.383947,"Tsuen Wan",2022,5,5,"cdround","https://www.inaturalist.org/observations/116054917","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773236517","116054917",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.127029,22.235693,"Tsuen Wan",2022,5,4,"cdround","https://www.inaturalist.org/observations/123060577","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860668845","123060577",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",101.264623,21.915377,"Yunnan",2021,4,3,"cdround","https://www.inaturalist.org/observations/72682373","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079801251","72682373",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",113.941751,22.266466,"Islands",2021,4,26,"cdround","https://www.inaturalist.org/observations/75517953","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109198281","75517953",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.123279,22.236517,"Tsuen Wan",2021,4,24,"cdround","https://www.inaturalist.org/observations/75024971","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3109320666","75024971",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",113.975349,22.243376,"Islands",2021,4,29,"","https://www.inaturalist.org/observations/91067085","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337986795","91067085",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",119.29647,26.07421,"Fujian",2021,4,17,"cdround","https://www.inaturalist.org/observations/112486118","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764402577","112486118",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.812109,22.940845,"Guangdong",2021,5,30,"cdround","https://www.inaturalist.org/observations/87244055","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330409622","87244055",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",113.862517,22.258217,"Islands",2021,6,9,"cdround","https://www.inaturalist.org/observations/82305354","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3302257164","82305354",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.041703,22.51542,"Guangdong",2021,8,7,"cdround","https://www.inaturalist.org/observations/90353283","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3338140498","90353283",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",113.85057,22.203962,"Islands",2021,9,6,"cdround","https://www.inaturalist.org/observations/94092264","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355821384","94092264",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",113.895358,22.370919,"Islands",2021,9,10,"cdround","https://www.inaturalist.org/observations/94343462","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3384792326","94343462",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.011926,22.352714,"Sham Shui Po",2021,9,14,"cdround","https://www.inaturalist.org/observations/95133147","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3385130173","95133147",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",114.326466,22.386,"Sha Tin",2021,10,3,"cdround","https://www.inaturalist.org/observations/97120532","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384388257","97120532",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",113.983083,23.760737,"Guangdong",2021,11,4,"cdround","https://www.inaturalist.org/observations/100499731","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415389271","100499731",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",113.95707,22.23977,"Islands",2020,4,28,"","https://www.inaturalist.org/observations/44222445","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611402876","44222445",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",118.11016,26.676707,"Fujian",2020,5,1,"cdround","https://www.inaturalist.org/observations/101871214","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3416057396","101871214",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ophiophagus hannah",101.24384,21.933361,"Yunnan",2020,5,5,"cdround","https://www.inaturalist.org/observations/109280849","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747012075","109280849",NA,NA,NA,NA,NA,NA,NA
