"datasetKey","basisOfRecord","occurrenceStatus","species","infraspecificEpithet","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",120.845487,23.681352,"Taiwan",2022,3,25,"cdround","https://www.inaturalist.org/observations/109514438","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759878942","109514438",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",121.435691,24.692731,"Taipei",2021,5,8,"cdround","https://www.inaturalist.org/observations/77931190","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113438978","77931190",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",121.84215,25.130898,"New Taipei",2021,12,10,"cdround","https://www.inaturalist.org/observations/102803334","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455804183","102803334",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",120.678939,23.518439,"Taiwan",2020,3,25,"cdround","https://www.inaturalist.org/observations/40937051","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596113360","40937051",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",121.639608,24.792212,"Taiwan",2020,4,18,"cdround","https://www.inaturalist.org/observations/42672251","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2609250741","42672251",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",121.375778,24.92203,"New Taipei",2020,4,17,"cdround","https://www.inaturalist.org/observations/48314857","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634581167","48314857",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",121.404934,24.674271,"Taipei",2020,5,2,"cdround","https://www.inaturalist.org/observations/93015164","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355063275","93015164",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",120.985093,24.402784,"Taiwan",2020,6,4,"cdround","https://www.inaturalist.org/observations/52335877","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814041757","52335877",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",121.350735,24.720615,"Taipei",2020,7,1,"cdround","https://www.inaturalist.org/observations/51528017","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814185374","51528017",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus kawakamii","kawakamii",121.583205,25.021063,"Taipei",2019,11,16,"","https://www.inaturalist.org/observations/35854750","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2460137682","35854750",NA,NA,NA,NA,NA,NA,NA
