"datasetKey","basisOfRecord","occurrenceStatus","species","infraspecificEpithet","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",119.519009,26.641656,"Fujian",2022,7,9,"cdround","https://www.inaturalist.org/observations/125806703","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873257923","125806703"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",112.492702,23.123319,"Guangdong",2021,1,16,"cdround","https://www.inaturalist.org/observations/68154201","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3031927870","68154201"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",114.340183,22.513572,"Tai Po",2020,3,3,"cdround","https://www.inaturalist.org/observations/39494041","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2576395861","39494041"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",114.141536,22.449143,"Tai Po",2019,1,6,"cdround","https://www.inaturalist.org/observations/19462085","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1986594881","19462085"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",114.174695,22.278315,"Wan Chai",2017,4,30,"cdround","https://www.inaturalist.org/observations/6108959","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1562899096","6108959"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",114.129898,22.432605,"Tai Po",2014,5,29,"","https://www.inaturalist.org/observations/917283","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891359969","917283"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",110.408783,29.350388,"Hunan",2014,9,30,"","https://www.inaturalist.org/observations/909688","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1038291979","909688"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",105.639081,21.457183,"Vinh Phuc",2013,7,12,"","https://www.inaturalist.org/observations/30862567","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2350439410","30862567"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",114.130826,22.432332,"Tai Po",2013,8,20,"","https://www.inaturalist.org/observations/917273","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880674626","917273"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oreocryptophis porphyraceus vaillanti","vaillanti",106.99106,20.794508,"H<U+1EA3>i Phong",2012,2,13,"cdround","https://www.inaturalist.org/observations/32032525","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422896491","32032525"
