"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.567604,24.890334,"New Taipei",2022,3,26,"cdround","https://www.inaturalist.org/observations/109730804","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759594186","109730804",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.507096,25.035639,"Taipei",2022,3,2,"cdround","https://www.inaturalist.org/observations/118256300","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802545797","118256300",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.639878,24.753722,"Taiwan",2022,4,26,"cdround","https://www.inaturalist.org/observations/113049104","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764530141","113049104",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.613679,25.241221,"New Taipei",2022,5,23,"cdround","https://www.inaturalist.org/observations/118313468","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802632241","118313468",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.406133,24.656132,"Taipei",2022,6,17,"cdround","https://www.inaturalist.org/observations/122171734","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858541024","122171734",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.426587,24.651097,"Taipei",2022,6,17,"cdround","https://www.inaturalist.org/observations/122178074","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860163996","122178074",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.59254,24.758479,"New Taipei",2022,6,15,"cdround","https://www.inaturalist.org/observations/127657401","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3873526551","127657401",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.639105,24.754213,"Taiwan",2022,7,11,"cdround","https://www.inaturalist.org/observations/125919437","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873219830","125919437",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.513146,24.914607,"New Taipei",2021,2,24,"cdround","https://www.inaturalist.org/observations/70095995","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044936136","70095995",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.51994,25.183652,"New Taipei",2021,4,24,"cdround","https://www.inaturalist.org/observations/75188556","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109070920","75188556",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.557807,24.931399,"New Taipei",2021,4,18,"cdround","https://www.inaturalist.org/observations/79128594","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3117765204","79128594",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas atayal",121.536835,24.839777,"New Taipei",2021,4,24,"cdround","https://www.inaturalist.org/observations/87372325","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333373559","87372325",NA
