"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",110.781518,26.672062,"Hunan",2022,6,23,"cdround","https://www.inaturalist.org/observations/125901059","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873850006","125901059",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",119.648539,30.169034,"Zhejiang",2022,7,2,"cdround","https://www.inaturalist.org/observations/124434029","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859128953","124434029",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",120.129261,30.183154,"Zhejiang",2022,7,1,"cdround","https://www.inaturalist.org/observations/124413007","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860546813","124413007",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",119.64917,30.169566,"Zhejiang",2022,7,3,"cdround","https://www.inaturalist.org/observations/124573055","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860833012","124573055",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",110.396639,31.476317,"Hubei",2021,7,16,"cdround","https://www.inaturalist.org/observations/113191488","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858251998","113191488",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",119.915669,28.493222,"Zhejiang",2021,9,4,"cdround","https://www.inaturalist.org/observations/95813709","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384101808","95813709",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",120.00008,29.676245,"Zhejiang",2021,9,27,"cdround","https://www.inaturalist.org/observations/96304079","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384543370","96304079",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",119.913652,28.489346,"Zhejiang",2021,9,4,"cdround","https://www.inaturalist.org/observations/100333985","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455965436","100333985",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",104.719604,32.484192,"Sichuan",2020,8,30,"cdround","https://www.inaturalist.org/observations/58001175","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858174579","58001175",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",104.719497,32.48428,"Sichuan",2020,8,30,"cdround","https://www.inaturalist.org/observations/57994857","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859807529","57994857",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",111.000233,31.169585,"Hubei",2019,6,8,"cdround","https://www.inaturalist.org/observations/108886469","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858216919","108886469",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",113.009953,24.932015,"Guangdong",2016,6,10,"","https://www.inaturalist.org/observations/3538575","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2311433174","3538575",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas boulengeri",119.715545,29.770617,"Zhejiang",2016,8,21,"cdround","https://www.inaturalist.org/observations/3925687","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858287321","3925687",NA,NA,NA
