"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.120078,22.381779,"Sha Tin",2022,6,4,"cdround","https://www.inaturalist.org/observations/120336498","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858455416","120336498",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.08157,22.34927,"Tsuen Wan",2022,6,11,"cdround","https://www.inaturalist.org/observations/121358850","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3858850420","121358850",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.109969,22.405815,"Tsuen Wan",2022,7,15,"cdround","https://www.inaturalist.org/observations/126414405","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873140962","126414405",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.134166,22.493266,"Tsuen Wan",2022,7,15,"cdround","https://www.inaturalist.org/observations/126350129","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873458295","126350129",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",103.48447,29.601571,"Sichuan",2022,7,24,"cdround","https://www.inaturalist.org/observations/129127672","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881615926","129127672",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.074032,22.576046,"Tsuen Wan",2022,8,2,"cdround","https://www.inaturalist.org/observations/129169342","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881840964","129169342",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.030874,22.478965,"Tsuen Wan",2021,1,3,"cdround","https://www.inaturalist.org/observations/67514708","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3018090887","67514708",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.106539,22.405944,"Tsuen Wan",2021,4,21,"cdround","https://www.inaturalist.org/observations/75634123","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109137479","75634123",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.092964,22.217809,"Tsuen Wan",2021,5,8,"cdround","https://www.inaturalist.org/observations/77994471","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3113303033","77994471",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.058139,22.488741,"Tsuen Wan",2021,9,30,"cdround","https://www.inaturalist.org/observations/96761278","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3384894923","96761278",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.106696,22.406038,"Tsuen Wan",2021,12,22,"cdround","https://www.inaturalist.org/observations/103470861","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747160465","103470861",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.190388,22.557752,"Tsuen Wan",2020,6,10,"cdround","https://www.inaturalist.org/observations/49202650","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2641568629","49202650",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.122172,22.371671,"Kwai Tsing",2020,6,8,"cdround","https://www.inaturalist.org/observations/55249263","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2850974985","55249263",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.145845,22.417417,"Tai Po",2020,8,23,"cdround","https://www.inaturalist.org/observations/57429445","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856706013","57429445",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.020516,22.474613,"Tsuen Wan",2020,9,10,"cdround","https://www.inaturalist.org/observations/59144617","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2862661437","59144617",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.156792,22.525102,"Tsuen Wan",2020,9,11,"cdround","https://www.inaturalist.org/observations/59298424","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2864679883","59298424",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.127073,22.445996,"Yuen Long",2020,9,19,"cdround","https://www.inaturalist.org/observations/60397455","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2868179102","60397455",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.082774,22.407969,"Tsuen Wan",2020,9,19,"cdround","https://www.inaturalist.org/observations/60387224","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2868227535","60387224",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.125436,22.407967,"Tsuen Wan",2018,6,24,"cdround","https://www.inaturalist.org/observations/13766895","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880566757","13766895",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",119.437232,30.354567,"Zhejiang",2018,7,3,"cdround","https://www.inaturalist.org/observations/19326759","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579279693","19326759",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.122382,22.40929,"Tsuen Wan",2016,8,20,"cdround","https://www.inaturalist.org/observations/39824760","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579333503","39824760",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.168941,22.42201,"Tai Po",2014,8,31,"cdround","https://www.inaturalist.org/observations/45971256","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626394532","45971256",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.181209,22.425747,"Tai Po",2014,9,26,"cdround","https://www.inaturalist.org/observations/39824758","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579228382","39824758",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.119062,22.407281,"Tsuen Wan",2014,9,28,"cdround","https://www.inaturalist.org/observations/39824759","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579233443","39824759",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas chinensis",114.142456,22.393253,"Tsuen Wan",2012,5,24,"","https://www.inaturalist.org/observations/557535","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1621771627","557535",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pareas chinensis",102.5,30.5,"Sichuan",1911,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-46901","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476675871","R-46901","ASIA","whole animal (ethanol)","Yunnan Border S.of Sufa,Szechwan China"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pareas chinensis",102.833,30.383,"Sichuan",1911,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-46902","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476675872","R-46902","ASIA","whole animal (ethanol)","nr Mupin,Szechwan China"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pareas chinensis",103.4,29.25,"Sichuan",NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-7326","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476648406","R-7326","ASIA","whole animal (ethanol); tissue (95% ethanol)","Lu-lu-ping [Ebian Xian], West Szechuan"
