"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",120.601875,23.59189,"Taiwan",2022,5,1,"cdround","https://www.inaturalist.org/observations/114233573","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772795267","114233573",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",121.20713,24.556336,"Taiwan",2021,4,4,"cdround","https://www.inaturalist.org/observations/73194979","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079916980","73194979",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",120.70284,23.486364,"Taiwan",2021,5,8,"cdround","https://www.inaturalist.org/observations/78058515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113255170","78058515",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",113.964882,23.778449,"Guangdong",2021,5,15,"cdround","https://www.inaturalist.org/observations/101870994","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881592393","101870994",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",120.957572,24.2354,"Taichung",2021,7,19,"cdround","https://www.inaturalist.org/observations/87747422","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330791218","87747422",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",120.754442,23.656197,"Taiwan",2021,7,29,"cdround","https://www.inaturalist.org/observations/89183489","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335437666","89183489",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",120.76777,23.66798,"Taiwan",2021,7,29,"","https://www.inaturalist.org/observations/89297826","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705399411","89297826",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",121.014338,24.425356,"Taiwan",2020,4,28,"","https://www.inaturalist.org/observations/44210214","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611398629","44210214",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",121.007961,24.41897,"Taiwan",2020,5,11,"","https://www.inaturalist.org/observations/45932963","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626469368","45932963",NA,NA,NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Pareas formosensis",119.919998,28.5,NA,2020,5,20,"gass84","https://www.ebi.ac.uk/ena/browser/view/MW531674","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3349433437","LSU2020MLTWDT01",610,0," Baiyunshan, Lishui, Zhejiang",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas formosensis",120.604486,23.459706,"Taiwan",2020,7,23,"cdround","https://www.inaturalist.org/observations/54161859","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2826198804","54161859",NA,NA,NA,NA,NA,NA
