"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","elevation","elevationAccuracy","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.274471,22.406791,"Tai Po",2022,3,21,"cdround","https://www.inaturalist.org/observations/109273814","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3746995277","109273814",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.11531,22.256293,"Tsuen Wan",2022,4,14,"cdround","https://www.inaturalist.org/observations/111488778","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759627907","111488778",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.137558,22.44473,"Tai Po",2022,4,13,"cdround","https://www.inaturalist.org/observations/111739910","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759730226","111739910",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",113.824291,22.224156,"Islands",2022,4,25,"cdround","https://www.inaturalist.org/observations/113206901","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3764096276","113206901",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.14316,22.364989,"Southern",2022,4,26,"cdround","https://www.inaturalist.org/observations/116028800","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3773375791","116028800",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.068052,22.582672,"Guangdong",2022,5,8,"","https://www.inaturalist.org/observations/116247495","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773149182","116247495",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.080876,22.562894,"Guangdong",2022,5,5,"cdround","https://www.inaturalist.org/observations/115660075","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773569981","115660075",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",113.486155,23.254634,"Guangdong",2022,5,19,"cdround","https://www.inaturalist.org/observations/117818178","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802655546","117818178",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.18323,22.42426,"Tai Po",2022,5,29,"cdround","https://www.inaturalist.org/observations/119398400","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858719711","119398400",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.122722,22.329265,"Southern",2022,6,29,"cdround","https://www.inaturalist.org/observations/124082209","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3858995671","124082209",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas margaritophorus",114.031543,22.377151,"Tsuen Wan",2022,6,17,"cdround","https://www.inaturalist.org/observations/124971907","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859252296","124971907",NA,NA,NA,NA,NA,NA,NA
