"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus vlangalii",100.756623,36.820318,"Qinghai",2020,6,5,"cdround","https://www.inaturalist.org/observations/65394619","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3044609729","65394619",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus vlangalii",100.748673,36.579565,"Qinghai",2016,6,15,"cdround","https://www.inaturalist.org/observations/20013126","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1993723153","20013126",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus vlangalii",100.732567,36.767872,"Qinghai",2014,6,15,"cdround","https://www.inaturalist.org/observations/33026731","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2423148337","33026731",NA,NA,NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus vlangalii",100.788,36.7165,"Qinghai Province",2012,7,5,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:272842","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1455547439","MVZ:Herp:272842",3243,0,"ASIA","whole organism; tissue","Qinghai Lake sand dunes, km road marker 26, N junction with G109 Rd."
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus vlangalii",100.824047,36.71292,"Qinghai",2012,8,8,"cdround","https://www.inaturalist.org/observations/70813663","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3059142723","70813663",NA,NA,NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus vlangalii",102.611027888889,33.1856916475586,"Sichuan Province",1990,8,4,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:216683","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145526420","MVZ:Herp:216683",3150,0,"ASIA","whole organism","5 km N Wasong Rd. [=Waqen-Songpan Rd.] at Waqen on Chengdu-Lanzhou Rd. No. 213, then 2 km N (magnetic, 1990) by 20 degrees E on dirt road, Aba [=Ngawa] Zangzu Autonomous Prefecture"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus vlangalii",102.600307888889,33.1700716532796,"Sichuan Province",1988,8,5,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:211427","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145520559","MVZ:Herp:211427",NA,NA,"ASIA","whole organism","sand dunes, 4 km N Waqen [=33.03N 102.37E], Aba [=Ngawa] Zanzu Autonomous Prefecture"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus vlangalii",100.711307888889,36.6663682979535,"Qinghai Province",1988,8,17,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:211494","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145520649","MVZ:Herp:211494",3310,0,"ASIA","whole organism","4.5 km N on dirt road then 2.5 km off road from Dong Hu Yang Chang [=E Lake Sheep Station], 27.5 km NW Daotanghe [=36.23N 100.55E] on Xining-Golmud Rd. then 15.3 km N on dirt road, Hainan Zangzu Autonomous Prefecture"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus vlangalii",105,45,NA,1887,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-22180","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476670906","R-22180",NA,NA,"ASIA","whole animal (ethanol)","Lake Kuku-nva, Mongolia"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus vlangalii",105,44,NA,1880,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-22179","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476662042","R-22179",NA,NA,"ASIA","whole animal (ethanol); tissue (95% ethanol)","'Chuan-chi' River, Gobi desert, Mongolia"
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus vlangalii",100.790001,36.720001,NA,NA,NA,NA,"gass84","https://www.ebi.ac.uk/ena/browser/view/KJ195974","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3817803945","MVZ:Herp:TP30721",3243,0,NA,NA,"Elev. 3243 m, 36.7165 deg N, 100.7880 deg E, East side of Qinghai Lake, Hainan Zangzu Autonomous Prefecture, Qinghai Province"
