"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plagiopholis styani",119.426655,30.379637,"Zhejiang",2022,7,8,"cdround","https://www.inaturalist.org/observations/126173667","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873306218","126173667",NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Plagiopholis styani",121.52421,25.18817,NA,2017,6,27,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864149129",NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Plagiopholis styani",121.46659,24.64918,NA,2017,7,7,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864149710",NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Plagiopholis styani",121.528803,25.183383,NA,2017,10,28,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864156251",NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Plagiopholis styani",121.535908,25.180818,NA,2016,5,16,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864137156",NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Plagiopholis styani",121.585,25.1642,NA,2016,7,25,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864139193",NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Plagiopholis styani",121.52128,25.18754,NA,2013,6,3,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864114310",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plagiopholis styani",121.55451,25.163876,"Taipei",2013,11,9,"cdround","https://www.inaturalist.org/observations/14038871","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880634698","14038871",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plagiopholis styani",105,35,"Jiangsu",1936,5,14,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-51408","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476498649","R-51408","ASIA","whole animal (ethanol)","KulinglLushan,Kiangsi,China"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Plagiopholis styani",115.96667,29.61667,"Jiangxi Province",1936,6,7,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:22165","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145532014","MVZ:Herp:22165","ASIA","whole organism","Lianhuadong, 5 mi N Guling, Lu shan"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Plagiopholis styani",115.98333,29.55215,"Jiangxi Province",1935,5,1,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:22154","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145531832","MVZ:Herp:22154","ASIA","whole organism","Luling, 1 mi S Guling, Lu shan"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plagiopholis styani",118,27.7,"Fujian",1926,4,1,"rdatunl,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-26621","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476664028","R-26621","ASIA","whole animal (ethanol)","Chungan Hsien,Fukien Province,China"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plagiopholis styani",103.35,29.533,"Sichuan",1921,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-32595","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476643585","R-32595","ASIA","whole animal (ethanol)","Mt Omei, Szechuan, China"
