"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.03589,22.448936,"Tsuen Wan",2022,2,6,"cdround","https://www.inaturalist.org/observations/106423566","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3468923326","106423566",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",113.850548,22.030283,"Islands",2022,3,12,"cdround,cudc","https://www.inaturalist.org/observations/116015907","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773636349","116015907",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.158716,22.580356,"Tsuen Wan",2022,5,18,"cdround","https://www.inaturalist.org/observations/118507724","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3802798558","118507724",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.144814,22.383715,"Kwai Tsing",2022,5,25,"cdround","https://www.inaturalist.org/observations/119375913","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860716651","119375913",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.076605,22.40443,"Tai Po",2022,6,22,"cdround","https://www.inaturalist.org/observations/122930444","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3858899618","122930444",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",101.238028,21.909508,"Yunnan",2022,6,30,"cdround","https://www.inaturalist.org/observations/124097313","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859097621","124097313",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.056866,22.583598,"Tai Po",2022,7,5,"cdround,cudc","https://www.inaturalist.org/observations/125042133","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859991372","125042133",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.134767,22.596656,"Yuen Long",2022,7,5,"cdround","https://www.inaturalist.org/observations/125169091","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873030122","125169091",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.117648,22.373747,"Kwai Tsing",2022,8,2,"cdround","https://www.inaturalist.org/observations/129169879","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881362915","129169879",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.057407,22.535764,"Tsuen Wan",2021,4,11,"cdround","https://www.inaturalist.org/observations/73624555","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3090972466","73624555",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",118.014385,30.168481,"Anhui",2021,5,16,"cdround","https://www.inaturalist.org/observations/78980146","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118258052","78980146",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.114295,22.313278,"Eastern",2021,8,10,"cdround","https://www.inaturalist.org/observations/95914499","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384055970","95914499",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.124656,22.462477,"Tsuen Wan",2021,9,26,"cdround","https://www.inaturalist.org/observations/96325239","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3385013436","96325239",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.074702,22.219537,"Central and Western",2020,6,18,"cdround","https://www.inaturalist.org/observations/50104221","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802980830","50104221",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.189948,22.473932,"Tsuen Wan",2020,8,2,"cdround","https://www.inaturalist.org/observations/55184904","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2826319328","55184904",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.095085,22.594697,"Tsuen Wan",2020,8,17,"cdround,cudc","https://www.inaturalist.org/observations/56907959","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2850818398","56907959",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.131142,22.435456,"Tai Po",2020,8,23,"cdround","https://www.inaturalist.org/observations/57429443","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856704018","57429443",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.075598,22.434535,"Tai Po",2020,10,1,"cdround","https://www.inaturalist.org/observations/61545916","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2883142838","61545916",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.055543,22.427796,"Yuen Long",2020,11,15,"cdround","https://www.inaturalist.org/observations/65064379","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2988437302","65064379",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.081328,22.52975,"Tsuen Wan",2019,9,22,"cdround","https://www.inaturalist.org/observations/33832040","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2429368906","33832040",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.022309,22.40839,"Tsuen Wan",2019,9,22,"cdround","https://www.inaturalist.org/observations/33832045","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2429369256","33832045",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.112087,22.545503,"Tai Po",2018,4,28,"cdround","https://www.inaturalist.org/observations/12088614","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1841324289","12088614",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.003481,22.455115,"Tsuen Wan",2018,7,5,"cdround","https://www.inaturalist.org/observations/24356765","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067614554","24356765",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.190079,22.591476,"Tai Po",2018,8,18,"cdround","https://www.inaturalist.org/observations/21974393","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2235552878","21974393",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.049758,22.522438,"Tai Po",2017,5,5,"cdround","https://www.inaturalist.org/observations/6216503","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1562938285","6216503",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.107591,22.58837,"Tsuen Wan",2015,5,12,"cdround,cudc","https://www.inaturalist.org/observations/1690750","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880661294","1690750",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.101539,22.479035,"Tsuen Wan",2014,1,31,"cdround","https://www.inaturalist.org/observations/1109114","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453049229","1109114",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.197188,22.563371,"Tsuen Wan",2014,6,23,"cdround","https://www.inaturalist.org/observations/1109115","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453049230","1109115",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Platysternon megacephalum",114.171279,22.256299,"Wan Chai",2014,10,1,"cdround","https://www.inaturalist.org/observations/4426237","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453167463","4426237",NA,NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Platysternon megacephalum",107.889133,21.846233,"Guangxi",2005,5,2,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3341957301","346220","ASIA","tissue - 100","Daxin","Shiwan Dashang Nature Reserve (Near town of Fulong)",NA,NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Platysternon megacephalum",103.770833,22.315556,"Lao Cai",1999,5,30,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211762483","37866","ASIA","Whole specimen (ETOH); Tissue",NA,"Sa Pa vicinity","PhysicalObject",NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Platysternon megacephalum",105.912778,22.628611,"Cao Bang",1998,5,NA,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211750543","36092","ASIA","Whole specimen (ETOH)","Nguyen Binh","Quang Thanh Village","PhysicalObject",NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Platysternon megacephalum",105.16666,21.75,"Tuyen Quang",1996,5,6,"gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211766081","28453","ASIA","Whole specimen (ETOH)",NA,"Tuyen Quang vicinity (purchased)","PhysicalObject",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Platysternon megacephalum",109,24,"Guangxi Zhuang",1928,6,2,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-32424","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476489768","R-32424","ASIA","whole animal (ethanol)",NA,"Lo-shiang",NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Platysternon megacephalum",120.585372,31.298975,"Jiangsu Prov.",1909,5,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543513694","16529","ASIA","Alcohol",NA,"Suzhou","PhysicalObject",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Platysternon megacephalum",118.084192,24.493142,"Fujian Prov.",NA,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543664042","74579","ASIA","Alcohol",NA,"Amoy","PhysicalObject",NA,NA
