"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","type","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",114.114248,22.409502,"Tsuen Wan",2022,3,8,"cdround","https://www.inaturalist.org/observations/108502532","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743045570","108502532",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",113.993282,22.265069,"Islands",2022,3,12,"cdround","https://www.inaturalist.org/observations/108502540","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743133530","108502540",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.546214,25.179689,"Taipei",2022,3,12,"cdround","https://www.inaturalist.org/observations/120257552","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859606413","120257552",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.699047,25.214742,"New Taipei",2022,4,8,"cdround","https://www.inaturalist.org/observations/110729735","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759923210","110729735",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",113.931313,22.27313,"Islands",2022,4,4,"cdround","https://www.inaturalist.org/observations/110387338","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760260932","110387338",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.697274,25.21218,"New Taipei",2022,4,9,"cdround","https://www.inaturalist.org/observations/110838219","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764119443","110838219",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.341523,25.012111,"Taipei",2022,4,12,"cdround","https://www.inaturalist.org/observations/111190977","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764146437","111190977",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.143631,24.919338,"Taipei",2022,4,20,"cdround","https://www.inaturalist.org/observations/112132309","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764221440","112132309",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",113.95951,22.405486,"Tuen Mun",2022,4,30,"cdround","https://www.inaturalist.org/observations/113777366","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772684873","113777366",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",120.853813,24.695315,"Taiwan",2022,4,22,"","https://www.inaturalist.org/observations/112449012","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859362044","112449012",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.539,25.295564,"New Taipei",2022,5,10,"cdround","https://www.inaturalist.org/observations/116547259","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772534278","116547259",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.450425,25.088697,"New Taipei",2022,5,29,"cdround","https://www.inaturalist.org/observations/119848000","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3860200122","119848000",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",114.159621,22.501077,"North",2022,6,26,"cdround","https://www.inaturalist.org/observations/123498947","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859492279","123498947",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",114.160103,22.500963,"North",2022,6,26,"cdround","https://www.inaturalist.org/observations/123498950","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859545212","123498950",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",114.175892,22.504087,"North",2022,7,7,"cdround","https://www.inaturalist.org/observations/125242455","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872975159","125242455",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",113.958614,22.404661,"Tuen Mun",2021,2,28,"cdround","https://www.inaturalist.org/observations/70785000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3059104879","70785000",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",113.563922,22.126089,"Ilhas",2021,2,28,"cdround","https://www.inaturalist.org/observations/70308049","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112288392","70308049",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.496344,25.100621,"Taipei",2021,3,10,"cdround","https://www.inaturalist.org/observations/70945809","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3058845015","70945809",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.695936,25.211606,"New Taipei",2021,4,13,"cdround","https://www.inaturalist.org/observations/73809172","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090799661","73809172",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon chinensis",121.694774,25.210402,"New Taipei",2021,4,7,"cdround","https://www.inaturalist.org/observations/73207492","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090801039","73207492",NA,NA,NA,NA,NA,NA,NA
