"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","locality","type","continent","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon kishinouyei",124.195436,24.374175,"Okinawa",2022,2,28,"cdround","https://www.inaturalist.org/observations/107631657","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705761007","107631657",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon kishinouyei",123.978632,24.354311,"Okinawa",2022,5,7,"cdround","https://www.inaturalist.org/observations/117883624","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802279682","117883624",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon kishinouyei",123.943501,24.305209,"Okinawa",2020,3,26,"cdround","https://www.inaturalist.org/observations/92076711","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415733803","92076711",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon kishinouyei",123.993757,24.233523,"Okinawa",2020,8,12,"cdround","https://www.inaturalist.org/observations/63165548","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2980823564","63165548",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon kishinouyei",123.736437,24.396544,"Okinawa",2010,7,8,"cdround","https://www.inaturalist.org/observations/342149","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1265603091","342149",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon kishinouyei",123.871032,24.284776,"Okinawa",2010,9,11,"cdround","https://www.inaturalist.org/observations/18051396","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415424337","18051396",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon kishinouyei",123.906452,24.349027,"Okinawa",2010,9,4,"cdround","https://www.inaturalist.org/observations/18051730","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881476312","18051730",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon kishinouyei",123.939375,24.356157,"Okinawa",2010,10,17,"cdround","https://www.inaturalist.org/observations/18051053","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2542879505","18051053",NA,NA,NA,NA,NA
"4cfcc190-f0e0-4611-8253-003481290d38","PRESERVED_SPECIMEN","PRESENT","Plestiodon kishinouyei",121,23.5,NA,1958,NA,NA,"gass84,typstativ,inmano",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3024570661","8944","container type: specimen jar; preservation method: alcohol","Formosa","PhysicalObject",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon kishinouyei",124.2,24.4,"Okinawa Prefecture",1871,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-7386","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476650651","R-7386","whole animal (ethanol)","Ishigaki shima Yaeyama group Riu Kiu Is",NA,"ASIA",NA
