"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","county","type","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",139.149922,34.221378,"Shizuoka",2022,5,23,"cdround","https://www.inaturalist.org/observations/118592482","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3802733518","118592482",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",139.160417,35.141644,"Kanagawa",2021,5,29,"cdround","https://www.inaturalist.org/observations/81025350","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301895888","81025350",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",139.026245,35.194633,"Kanagawa",2021,6,13,"cdround","https://www.inaturalist.org/observations/82817492","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3307183247","82817492",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",139.025984,35.196141,"Kanagawa",2021,6,12,"cdround","https://www.inaturalist.org/observations/82658938","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3307220545","82658938",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",138.944042,34.672913,"Shizuoka",2020,8,1,"cdround","https://www.inaturalist.org/observations/55152189","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3784752334","55152189",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",138.914834,34.65296,"Shizuoka",2019,8,19,"cdround","https://www.inaturalist.org/observations/32195048","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422926499","32195048",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",138.914833,34.65297,"Shizuoka",2019,8,15,"cdround","https://www.inaturalist.org/observations/32202776","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2860146352","32202776",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",139.104661,35.232855,"Kanagawa",2019,8,26,"cdround","https://www.inaturalist.org/observations/31533075","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873976338","31533075",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",138.89916,35.196142,"Shizuoka",2017,9,3,"cdround","https://www.inaturalist.org/observations/7761324","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2864605309","7761324",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon latiscutatus",138.899268,35.196135,"Shizuoka",2017,9,3,"cdround","https://www.inaturalist.org/observations/7761302","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2864789307","7761302",NA,NA,NA,NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.09625,35.235139,NA,2010,3,31,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875320","KUZ R66749",195,0,"Amidaji Temple, Hakone-machi, Kanagawa Pref.",NA,NA,NA,NA
"95faf636-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.866389,36.271111,"Gunma",2010,9,19,"gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","699239461","VR0000598",NA,NA,"Momijidaira Park, Kamikuroiwa","Tomioka-shi","text",NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.913194,35.209306,NA,2008,4,15,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874844","KUZ R64918",NA,NA,"Susono-shi, Shizuoka Pref.",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.705556,35.142556,NA,2008,8,21,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874995","KUZ R65408",NA,NA,"Fuji-shi, Shizuoka Pref.",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.754389,35.158611,NA,2008,8,21,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874998","KUZ R65414",NA,NA,"Fuji-shi, Shizuoka Pref.",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.688306,35.160417,NA,2008,8,21,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875001","KUZ R65420",NA,NA,"Fuji-shi, Shizuoka Pref.",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.691258,35.165994,NA,2007,4,10,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874573","KUZ R63834",NA,NA,"Fuji-shi, Shizuoka Pref.",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.915972,35.216417,NA,2007,4,6,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874592","KUZ R63819",NA,NA,"Susono-shi, Shizuoka Pref.",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.91375,35.21175,NA,2007,4,6,"gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874593","KUZ R63820",NA,NA,"Susono-shi, Shizuoka Pref.",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.9125,35.21175,NA,2007,4,6,"gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874594","KUZ R63821",NA,NA,"Susono-shi, Shizuoka Pref.",NA,NA,NA,NA
