"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon marginatus",127.268959,26.446013,"Okinawa",2022,6,26,"cdround","https://www.inaturalist.org/observations/125779778","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873709111","125779778",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon marginatus",127.953051,26.732522,"Okinawa",2020,7,4,"cdround","https://www.inaturalist.org/observations/51997032","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814471158","51997032",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon marginatus",128.324608,26.841103,"Okinawa",2019,7,12,"cdround","https://www.inaturalist.org/observations/28671351","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2294456350","28671351",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon marginatus",128.388239,26.973623,"Okinawa",2019,7,26,"cdround","https://www.inaturalist.org/observations/29562643","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2311316658","29562643",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon marginatus",128.323805,26.909686,"Okinawa",2014,8,9,"cdround","https://www.inaturalist.org/observations/62554618","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898398141","62554618",NA,NA,NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",127.681889,26.230528,NA,2011,4,20,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875350","KUZ R66996",14,0,"Amekuryokuchi Park, Naha-shi, Okiwanajima Island, Okinawa Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",127.978194,26.591389,NA,2011,6,6,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875357","KUZ R68600",12,0,"Senganji Temple, Nago-shi, Okinawajima Island, Okinawa Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",128.67325,27.41225,NA,2010,4,15,"gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875272","KUZ R66700",18,0,"Kasaishi-kaihinkoen Park, Okinoerabujima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",128.672556,27.411722,NA,2010,4,15,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875273","KUZ R66701",10,0,"Kasaishi-kaihinkoen Park, Okinoerabujima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",128.673194,27.411111,NA,2010,4,15,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875274","KUZ R66702",13,0,"Kasaishi-kaihinkoen Park, Okinoerabujima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",128.996667,27.684556,NA,2010,4,20,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875275","KUZ R66703",5,0,"Kinenhama Beach, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",128.997028,27.687389,NA,2010,4,20,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875276","KUZ R66704",11,0,"Kinenhama Beach, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",128.997,27.687056,NA,2010,4,20,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875277","KUZ R66705",6,0,"Kinenhama Beach, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.030139,27.746056,NA,2010,4,21,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875278","KUZ R66706",11,0,"Nagominomisaki Cape, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.030111,27.746,NA,2010,4,21,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875279","KUZ R66707",8,0,"Nagominomisaki Cape, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.029972,27.746028,NA,2010,4,21,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875280","KUZ R66708",13,0,"Nagominomisaki Cape, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.030056,27.745861,NA,2010,4,21,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875283","KUZ R66710",13,0,"Nagominomisaki Cape, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.030028,27.745889,NA,2010,4,21,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875284","KUZ R66711",11,0,"Nagominomisaki Cape, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",128.996972,27.68725,NA,2010,4,21,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875285","KUZ R66712",23,0,"Kinenhama Beach, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",128.996806,27.686639,NA,2010,4,22,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875286","KUZ R66713",18,0,"Kinenhama Beach, Tokunoshima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.926861,28.316611,NA,2010,4,24,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875287","KUZ R66714",10,0,"Nakasato, Kikaijima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",130.025333,28.357083,NA,2010,4,24,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875289","KUZ R66716",10,0,"Shitooke, Kikaijima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",130.02625,28.358361,NA,2010,4,24,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875291","KUZ R66718",14,0,"Shitooke, Kikaijima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",130.027,28.358167,NA,2010,4,25,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875292","KUZ R66719",2,0,"Shitooke, Kikaijima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.936861,28.319139,NA,2010,4,25,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875293","KUZ R66720",7,0,"Wan, Kikaijima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.9285,28.317333,NA,2010,4,25,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875294","KUZ R66721",0,0,"Nakasato, Kikaijima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.927806,28.317083,NA,2010,4,25,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875295","KUZ R66722",2,0,"Nakasato, Kikaijima Island, Kagoshima Pref.",NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon marginatus",129.408889,28.260222,NA,2010,4,28,"cdround,gass84,txmathi,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875298","KUZ R66724",3,0,"Sumiyo, Amami-shi, Amamioshima Island, Kagoshima Pref.",NA,NA,NA
