"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","elevation","elevationAccuracy","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.882338,22.22587,"Islands",2022,3,12,"cdround","https://www.inaturalist.org/observations/108432448","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743082632","108432448",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.149589,22.262567,"Central and Western",2022,3,14,"cdround","https://www.inaturalist.org/observations/108653158","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743318091","108653158",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.207996,22.280207,"Eastern",2022,3,31,"cdround","https://www.inaturalist.org/observations/109993118","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759303472","109993118",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.027743,22.203735,"Islands",2022,4,23,"cdround","https://www.inaturalist.org/observations/112666231","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764567757","112666231",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",106.995348,20.789142,"H<U+1EA3>i Phong",2022,6,13,"cdround","https://www.inaturalist.org/observations/121576344","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858764530","121576344",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",106.987321,20.794561,"H<U+1EA3>i Phong",2022,6,18,"cdround","https://www.inaturalist.org/observations/122262168","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858940094","122262168",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.563922,22.126089,"Ilhas",2022,6,21,"cdround","https://www.inaturalist.org/observations/122901682","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860515709","122901682",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.111033,22.239157,"Southern",2022,6,18,"cdround","https://www.inaturalist.org/observations/122285925","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860807027","122285925",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.020794,22.387073,"Tuen Mun",2021,2,17,"cdround","https://www.inaturalist.org/observations/69706975","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044679427","69706975",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.061346,22.394136,"Tuen Mun",2021,2,17,"cdround","https://www.inaturalist.org/observations/69709209","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044875360","69709209",NA,NA,NA,NA,NA,NA,NA
