"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","continent","preparations","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",129.209231,28.256821,"Kagoshima",2022,7,18,"cdround","https://www.inaturalist.org/observations/126826967","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873444492","126826967",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.241641,26.856964,"Okinawa",2021,1,15,"cdround","https://www.inaturalist.org/observations/68095389","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3031875845","68095389",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",129.303145,28.271177,"Kagoshima",2021,8,12,"cdround","https://www.inaturalist.org/observations/92257796","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3343890914","92257796",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.935572,27.790728,"Kagoshima",2021,8,7,"cdround","https://www.inaturalist.org/observations/92256652","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3344007622","92256652",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",129.388899,28.250384,"Kagoshima",2021,8,12,"cdround","https://www.inaturalist.org/observations/92812336","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355013073","92812336",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",129.308245,28.267225,"Kagoshima",2020,8,7,"cdround","https://www.inaturalist.org/observations/72167529","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070374582","72167529",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",129.330134,28.078277,"Kagoshima",2020,8,3,"cdround","https://www.inaturalist.org/observations/72167986","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070652601","72167986",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",129.328599,28.094437,"Kagoshima",2020,8,4,"cdround","https://www.inaturalist.org/observations/72168490","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070671530","72168490",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.703097,26.130013,"Okinawa",2019,6,8,"cdround","https://www.inaturalist.org/observations/72249346","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070359814","72249346",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.690607,26.113652,"Okinawa",2019,6,8,"cdround","https://www.inaturalist.org/observations/73515430","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090632292","73515430",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.261974,26.890016,"Okinawa",2019,8,24,"cdround","https://www.inaturalist.org/observations/31446262","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2445124504","31446262",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.968513,27.05234,"Okinawa",2019,8,17,"cdround","https://www.inaturalist.org/observations/72167767","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070354623","72167767",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",126.839579,26.340043,"Okinawa",2019,10,19,"cdround","https://www.inaturalist.org/observations/72247986","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070380630","72247986",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",126.788454,26.311743,"Okinawa",2019,10,20,"cdround","https://www.inaturalist.org/observations/72248215","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070495972","72248215",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",126.758282,26.359562,"Okinawa",2019,10,22,"cdround","https://www.inaturalist.org/observations/72168109","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070662694","72168109",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",126.762247,26.34348,"Okinawa",2019,10,20,"cdround","https://www.inaturalist.org/observations/72168619","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070666552","72168619",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",126.774558,26.317144,"Okinawa",2019,10,21,"cdround","https://www.inaturalist.org/observations/72248311","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070728989","72248311",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.14661,26.373384,"Okinawa",2018,4,29,"cdround","https://www.inaturalist.org/observations/73521474","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090626286","73521474",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.358231,26.187847,"Okinawa",2018,5,2,"cdround","https://www.inaturalist.org/observations/73520573","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090614233","73520573",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",126.792269,26.310378,"Okinawa",2018,5,1,"cdround","https://www.inaturalist.org/observations/73521068","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090724235","73521068",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.35789,26.187262,"Okinawa",2018,5,2,"cdround","https://www.inaturalist.org/observations/73519929","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090788230","73519929",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.316897,26.990293,"Okinawa",2018,6,9,"cdround","https://www.inaturalist.org/observations/99538840","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3398933327","99538840",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.679017,26.119394,"Okinawa",2018,7,15,"cdround","https://www.inaturalist.org/observations/73406076","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090745101","73406076",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.94601,27.788571,"Kagoshima",2018,8,11,"cdround","https://www.inaturalist.org/observations/73624598","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090880382","73624598",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.946442,27.787217,"Kagoshima",2018,8,14,"cdround","https://www.inaturalist.org/observations/73623648","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090936371","73623648",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.011776,26.700202,"Okinawa",2018,10,6,"cdround","https://www.inaturalist.org/observations/73518563","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090570253","73518563",NA,NA,NA,NA,NA
"7a25f7aa-03fb-4322-aaeb-66719e1a9527","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",127.768331,26.350997,NA,2017,5,NA,"gass84,colmafu","http://portal.vertnet.org/o/lacm/herps?id=764c54d4-11fa-4211-a00b-aedfd662a7fb","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1933393380","189422","Kadena Munitions Storage Area, Kadena Air Base, Okinawa Prefecture, Okinawa","PhysicalObject",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",129.332294,28.253341,"Kagoshima",2016,5,21,"cdround","https://www.inaturalist.org/observations/67080878","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3013940717","67080878",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.786296,26.427306,"Okinawa",2015,5,16,"cdround","https://www.inaturalist.org/observations/60363811","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868306529","60363811",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.221436,26.691637,"Okinawa",2013,6,9,"","https://www.inaturalist.org/observations/469464","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453261965","469464",NA,NA,NA,NA,NA
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",128.93907,27.786052,"Ryukyu",1986,NA,NA,"colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987070805","199974","RYUKYO ARCHEPELAGO TOKUNO SHIMA","PhysicalObject","ASIA","FLUID - 1","KAGOSHIMA PREFECTURE"
