"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","continent","preparations","elevation","elevationAccuracy","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",120.433747,23.313958,"Tainan",2022,1,25,"cdround","https://www.inaturalist.org/observations/105551418","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3465958859","105551418",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",120.442245,23.321097,"Tainan",2022,1,25,"cdround","https://www.inaturalist.org/observations/105551367","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466433380","105551367",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",121.414401,25.019064,"Taipei",2022,1,5,"cdround","https://www.inaturalist.org/observations/118256266","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802380122","118256266",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",120.492111,23.635417,"Taiwan",2022,2,2,"cdround","https://www.inaturalist.org/observations/106012562","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466386186","106012562",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",114.324189,22.416724,"Sha Tin",2022,2,8,"cdround","https://www.inaturalist.org/observations/106423572","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3468734190","106423572",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",121.552162,25.163325,"Taipei",2022,2,28,"cdround","https://www.inaturalist.org/observations/107995179","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712677632","107995179",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",121.500535,24.951854,"New Taipei",2022,3,2,"cdround","https://www.inaturalist.org/observations/107751793","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705382073","107751793",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",120.814777,21.961209,"Taiwan",2022,3,3,"cdround","https://www.inaturalist.org/observations/108354147","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3743099476","108354147",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",120.845852,24.147293,"Taichung",2022,3,18,"cdround","https://www.inaturalist.org/observations/108869805","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3746993539","108869805",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops mucrosquamatus",121.299652,22.965691,"Taiwan",2022,3,26,"cdround","https://www.inaturalist.org/observations/109594302","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759700044","109594302",NA,NA,NA,NA,NA,NA,NA
