"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","continent","preparations","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.200303,23.337167,"Taiwan",2022,3,12,"cdround","https://www.inaturalist.org/observations/109361557","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747363399","109361557",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.598793,25.130765,"Taipei",2022,6,5,"cdround","https://www.inaturalist.org/observations/120315138","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858504533","120315138",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.520316,25.180947,"New Taipei",2022,6,4,"cdround","https://www.inaturalist.org/observations/120088860","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860237260","120088860",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.288803,24.611937,"Taiwan",2022,6,28,"cdround","https://www.inaturalist.org/observations/123898526","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872883792","123898526",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.448429,24.699183,"Taipei",2021,5,8,"cdround","https://www.inaturalist.org/observations/77930676","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113457956","77930676",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.027131,24.1895,"Taichung",2021,5,27,"cdround","https://www.inaturalist.org/observations/80445655","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124878005","80445655",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.431197,24.646142,"Taipei",2021,5,8,"cdround","https://www.inaturalist.org/observations/77931356","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301820596","77931356",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.407712,24.780404,"Taipei",2021,7,13,"cdround","https://www.inaturalist.org/observations/86959064","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327832442","86959064",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.346319,23.797022,"Taiwan",2021,8,11,"cdround","https://www.inaturalist.org/observations/91277683","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337540106","91277683",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.503204,24.778612,"New Taipei",2021,8,22,"","https://www.inaturalist.org/observations/94534056","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3385020517","94534056",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.413999,24.688848,"Taipei",2021,9,21,"cdround","https://www.inaturalist.org/observations/95939808","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384845013","95939808",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",114.010299,27.378865,"Jiangxi",2021,10,4,"","https://www.inaturalist.org/observations/97571593","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3391691675","97571593",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",120.911678,24.2417,"Taichung",2021,10,10,"cdround","https://www.inaturalist.org/observations/103672148","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3457102234","103672148",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",118.41533,29.501128,"Zhejiang",2021,10,15,"cdround","https://www.inaturalist.org/observations/112040010","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760114495","112040010",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.010981,23.999761,"Taiwan",2021,11,18,"cdround","https://www.inaturalist.org/observations/101427699","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3415912485","101427699",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.570913,25.1641,"Taipei",2021,11,16,"cdround","https://www.inaturalist.org/observations/102291881","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455491771","102291881",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.587609,25.164518,"Taipei",2020,4,18,"","https://www.inaturalist.org/observations/42457447","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2609176543","42457447",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.557832,25.17176,"Taipei",2020,5,31,"cdround","https://www.inaturalist.org/observations/47954674","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634327615","47954674",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.560936,25.194246,"Taipei",2020,5,30,"cdround","https://www.inaturalist.org/observations/47931432","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3018129417","47931432",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.468331,24.700817,"New Taipei",2020,5,3,"cdround","https://www.inaturalist.org/observations/93015163","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355029298","93015163",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.444618,24.830084,"New Taipei",2020,6,3,"cdround","https://www.inaturalist.org/observations/48291155","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2634515125","48291155",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.416588,24.645233,"Taipei",2020,6,7,"cdround","https://www.inaturalist.org/observations/48887821","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814277619","48887821",NA,NA,NA,NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Pseudagkistrodon rudis",119.82,27.870001,NA,2020,7,22,"gass84","https://www.ebi.ac.uk/ena/browser/view/MW327508","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3351870647","LSU20200722WF01",837,0," Xiayangxiang, Wencheng, Wenzhou, Zhejiang",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",119.433152,30.341887,"Zhejiang",2020,8,9,"cdround","https://www.inaturalist.org/observations/56123476","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2851107269","56123476",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",119.44178,30.340019,"Zhejiang",2020,8,9,"cdround","https://www.inaturalist.org/observations/56082696","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2984493438","56082696",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.521389,25.183889,"New Taipei",2020,9,4,"cdround","https://www.inaturalist.org/observations/58505893","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2862515611","58505893",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.190007,23.347203,"Taiwan",2019,2,26,"cdround","https://www.inaturalist.org/observations/20968966","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2013001941","20968966",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",113.27313,24.818703,"Guangdong",2019,6,8,"cdround","https://www.inaturalist.org/observations/70810228","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3058908104","70810228",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.620985,24.199322,"Taiwan",2019,7,3,"cdround","https://www.inaturalist.org/observations/86119123","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325652465","86119123",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.182781,23.945332,"Taiwan",2019,10,13,"","https://www.inaturalist.org/observations/37885311","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2563565435","37885311",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.179111,23.953262,"Taiwan",2019,11,2,"cdround","https://www.inaturalist.org/observations/35284025","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2451717259","35284025",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.448188,24.821632,"New Taipei",2018,5,22,"cdround","https://www.inaturalist.org/observations/31536649","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397569067","31536649",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.519271,25.183475,"New Taipei",2018,5,31,"cdround","https://www.inaturalist.org/observations/66517129","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3005136775","66517129",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",120.920692,24.29797,"Taiwan",2018,6,17,"cdround","https://www.inaturalist.org/observations/13502419","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880495170","13502419",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.170577,23.35316,"Taiwan",2018,6,3,"cdround","https://www.inaturalist.org/observations/117165559","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784891947","117165559",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.413055,24.691389,"Taipei",2018,7,19,"cdround","https://www.inaturalist.org/observations/14682783","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1883951532","14682783",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.409431,24.823305,"Taipei",2018,11,9,"cdround","https://www.inaturalist.org/observations/56102663","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2850787268","56102663",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.409447,24.823284,"Taipei",2018,11,9,"cdround","https://www.inaturalist.org/observations/56102657","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2851268352","56102657",NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.54504,25.178664,NA,2017,5,11,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864146539",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.29382,24.66219,NA,2017,5,14,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864146731",NA,NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudagkistrodon rudis",121.270986,24.75081,"Taiwan",2017,5,23,"cdround","https://www.inaturalist.org/observations/28359011","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2283204715","28359011",NA,NA,NA,NA,NA,NA,NA
