"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",127.511282,36.640917,"Chungcheongbuk-do",2022,4,3,"cdround","https://www.inaturalist.org/observations/110384658","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759948852","110384658"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",127.468214,36.6132,"Chungcheongbuk-do",2022,5,22,"cdround","https://www.inaturalist.org/observations/118197978","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802679608","118197978"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",114.2192,22.276808,"Sai Kung",2022,7,29,"cdround","https://www.inaturalist.org/observations/128430813","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881792946","128430813"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",127.46533,36.613529,"Chungcheongbuk-do",2021,5,19,"cdround","https://www.inaturalist.org/observations/110378642","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760188829","110378642"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",127.468261,36.613234,"Chungcheongbuk-do",2020,5,18,"cdround","https://www.inaturalist.org/observations/48513933","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2641327590","48513933"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",127.455931,36.628829,"Chungcheongbuk-do",2020,5,17,"","https://www.inaturalist.org/observations/66275947","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2999190981","66275947"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",126.97974,37.52226,"Seoul",2020,6,28,"cdround","https://www.inaturalist.org/observations/51194101","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759621457","51194101"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",128.560352,35.842043,"Daegu",2020,7,26,"cdround","https://www.inaturalist.org/observations/54367555","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2988498577","54367555"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",127.236011,36.609604,"Sejong",2020,10,17,"cdround","https://www.inaturalist.org/observations/62771572","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2984361502","62771572"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",127.4653,36.613253,"Chungcheongbuk-do",2019,5,1,"cdround","https://www.inaturalist.org/observations/24327554","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2283014521","24327554"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys concinna",126.920299,37.518837,"Seoul",2019,5,23,"cdround","https://www.inaturalist.org/observations/25616022","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759562363","25616022"
