"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",121.41614,25.164185,"New Taipei",2022,1,20,"cdround","https://www.inaturalist.org/observations/105447850","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466255308","105447850"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",129.405075,36.969158,"Gyeongsangbuk-do",2021,7,11,"cdround","https://www.inaturalist.org/observations/87131052","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3383885843","87131052"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",128.560452,35.84199,"Daegu",2021,7,24,"cdround","https://www.inaturalist.org/observations/88371378","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384621865","88371378"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",127.468113,36.613188,"Chungcheongbuk-do",2020,9,3,"cdround","https://www.inaturalist.org/observations/58687057","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3031619947","58687057"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",121.500372,24.953405,"New Taipei",2019,11,20,"cdround","https://www.inaturalist.org/observations/35876629","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455257621","35876629"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",139.772522,35.710748,"Tokyo",2018,6,13,"cdround","https://www.inaturalist.org/observations/82791368","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3307394905","82791368"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",127.455879,36.627132,"Chungcheongbuk-do",2018,10,20,"cdround","https://www.inaturalist.org/observations/17673112","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1932317893","17673112"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",126.764245,37.653791,"Gyeonggi-do",2016,10,30,"","https://www.inaturalist.org/observations/4794698","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1453296852","4794698"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",126.909063,36.372852,"Chungcheongnam-do",2011,8,16,"","https://www.inaturalist.org/observations/4794710","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1453296938","4794710"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",126.914406,36.416586,"Chungcheongnam-do",2011,8,16,"cdround","https://www.inaturalist.org/observations/28218","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2422855245","28218"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudemys nelsoni",127.376046,36.208026,"Chungcheongnam-do",2011,9,25,"","https://www.inaturalist.org/observations/4626483","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1453238340","4626483"
