"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",121.374216,24.790791,"Taipei",2022,1,4,"cdround","https://www.inaturalist.org/observations/104340343","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455872634","104340343",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",121.899015,24.945528,"Taiwan",2022,4,29,"cdround","https://www.inaturalist.org/observations/124188454","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860727750","124188454",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",118.534574,32.045835,"Jiangsu",2022,5,14,"cdround","https://www.inaturalist.org/observations/116928888","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784658513","116928888",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",118.533888,32.045998,"Jiangsu",2022,5,14,"cdround","https://www.inaturalist.org/observations/118487122","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802507488","118487122",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",121.401644,23.718286,"Taiwan",2022,6,26,"cdround","https://www.inaturalist.org/observations/123492874","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860204192","123492874",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",120.079118,30.304456,"Zhejiang",2022,6,8,"cdround","https://www.inaturalist.org/observations/121345096","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860550277","121345096",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",121.515528,24.818367,"New Taipei",2022,7,24,"cdround","https://www.inaturalist.org/observations/127648028","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873070177","127648028",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",121.501359,24.944207,"New Taipei",2022,7,19,"cdround","https://www.inaturalist.org/observations/126932034","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873193894","126932034",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",121.732545,25.015381,"New Taipei",2022,7,23,"cdround","https://www.inaturalist.org/observations/127635774","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873744420","127635774",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas dhumnades",118.931275,31.978092,"Jiangsu",2022,7,7,"cdround","https://www.inaturalist.org/observations/126599329","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874147505","126599329",NA,NA,NA
